"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Mujeres (044)",10024,8868,330,162,664
"Agric., ganadería, caza y silvicultura (045)",6001,5856,129,15,1
"Pesca (046)",2,2,,,
"Explotación de minas y canteras (047)",20,6,5,2,7
"Industrias manufactureras (048)",278,245,22,10,1
"Suministro de electricidad, gas y agua (049)",4,1,,2,1
"Construcción (050)",32,9,5,14,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1620,1583,36,1,
"Venta, mant.y rep. veh.autom y motoc. (052)",23,23,,,
"Comercio al por mayor (053)",56,55,1,,
"Comercio al por menor (054)",1541,1505,35,1,
"Hoteles y restaurantes (055)",423,398,17,6,2
"Trans., almac. y comunicaciones (056)",63,54,4,5,
"Intermediación financiera (057)",5,3,1,,1
"Activid.inmobil., empres. y alquileres (058)",69,50,3,9,7
"Admin.pub. y defensa; p. segur soc.afil (059)",225,,,,225
"Enseñanza (060)",467,59,69,77,262
"Servicios sociales y de salud (061)",179,23,8,6,142
"Otras activ. serv.comun.soc y personales (062)",147,126,14,4,3
"Hogares privados con servicio doméstico (063)",171,171,,,
"Actividad economica no especificada (065)",318,282,17,11,8
,,,,,
"URBANA (066)",10262,7317,671,493,1781
"Agric., ganadería, caza y silvicultura (067)",1993,1880,83,18,12
"Pesca (068)",3,3,,,
"Explotación de minas y canteras (069)",123,39,20,20,44
"Industrias manufactureras (070)",586,518,49,11,8
"Suministro de electricidad, gas y agua (071)",17,1,,11,5
"Construcción (072)",804,548,107,103,46
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2286,2207,76,1,2
"Venta, mant.y rep. veh.autom y motoc. (074)",155,148,6,,1
"Comercio al por mayor (075)",94,87,6,,1
"Comercio al por menor (076)",2037,1972,64,1,
"Hoteles y restaurantes (077)",480,441,32,5,2
"Trans., almac. y comunicaciones (078)",825,746,33,27,19
"Intermediación financiera (079)",15,5,1,1,8
"Activid.inmobil., empres. y alquileres (080)",241,154,23,28,36
"Admin.pub. y defensa; p. segur soc.afil (081)",665,,,,665
"Enseñanza (082)",1110,102,147,212,649
"Servicios sociales y de salud (083)",311,48,6,9,248
"Otras activ. serv.comun.soc y personales (084)",269,201,42,13,13
"Hogares privados con servicio doméstico (085)",146,146,,,
"Actividad economica no especificada (087)",388,278,52,34,24
"Hombres (088)",6039,4030,480,370,1159
"Agric., ganadería, caza y silvicultura (089)",1270,1189,53,16,12
"Pesca (090)",3,3,,,
"Explotación de minas y canteras (091)",115,35,19,18,43
"Industrias manufactureras (092)",370,325,32,6,7
"Suministro de electricidad, gas y agua (093)",13,,,9,4
"Construcción (094)",777,540,103,90,44
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",775,732,41,,2
"Venta, mant.y rep. veh.autom y motoc. (096)",133,126,6,,1
"Comercio al por mayor (097)",43,37,5,,1
"Comercio al por menor (098)",599,569,30,,
"Hoteles y restaurantes (099)",91,72,17,1,1
"Trans., almac. y comunicaciones (100)",767,693,30,25,19
"Intermediación financiera (101)",10,2,,1,7
"Activid.inmobil., empres. y alquileres (102)",181,111,20,20,30
"Admin.pub. y defensa; p. segur soc.afil (103)",450,,,,450
"Enseñanza (104)",688,56,96,146,390
"Servicios sociales y de salud (105)",159,28,2,5,124
"Otras activ. serv.comun.soc y personales (106)",129,81,29,9,10
"Hogares privados con servicio doméstico (107)",26,26,,,
"Actividad economica no especificada (109)",215,137,38,24,16
"Mujeres (110)",4223,3287,191,123,622
"Agric., ganadería, caza y silvicultura (111)",723,691,30,2,
"Explotación de minas y canteras (113)",8,4,1,2,1
"Industrias manufactureras (114)",216,193,17,5,1
"Suministro de electricidad, gas y agua (115)",4,1,,2,1
"Construcción (116)",27,8,4,13,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1511,1475,35,1,
"Venta, mant.y rep. veh.autom y motoc. (118)",22,22,,,
"Comercio al por mayor (119)",51,50,1,,
"Comercio al por menor (120)",1438,1403,34,1,
"Hoteles y restaurantes (121)",389,369,15,4,1
"Trans., almac. y comunicaciones (122)",58,53,3,2,
"Intermediación financiera (123)",5,3,1,,1
"Activid.inmobil., empres. y alquileres (124)",60,43,3,8,6
"Admin.pub. y defensa; p. segur soc.afil (125)",215,,,,215
"Enseñanza (126)",422,46,51,66,259
"Servicios sociales y de salud (127)",152,20,4,4,124
"Otras activ. serv.comun.soc y personales (128)",140,120,13,4,3
"Hogares privados con servicio doméstico (129)",120,120,,,
"Actividad economica no especificada (131)",173,141,14,10,8
,,,,,
"RURAL (132)",14043,12837,482,255,469
"Agric., ganadería, caza y silvicultura (133)",11836,11531,233,62,10
"Pesca (134)",7,7,,,
"Explotación de minas y canteras (135)",427,41,52,44,290
"Industrias manufactureras (136)",301,256,20,25,
"Suministro de electricidad, gas y agua (137)",13,2,,11,
"Construcción (138)",288,201,43,19,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",245,223,10,3,9
"Venta, mant.y rep. veh.autom y motoc. (140)",30,15,4,2,9
"Comercio al por mayor (141)",11,11,,,
"Comercio al por menor (142)",204,197,6,1,
"Hoteles y restaurantes (143)",59,42,11,3,3
"Trans., almac. y comunicaciones (144)",130,101,13,11,5
"Intermediación financiera (145)",1,1,,,
"Activid.inmobil., empres. y alquileres (146)",78,27,10,38,3
"Admin.pub. y defensa; p. segur soc.afil (147)",85,,,,85
"Enseñanza (148)",164,62,64,30,8
"Servicios sociales y de salud (149)",51,15,6,3,27
"Otras activ. serv.comun.soc y personales (150)",28,22,5,1,
"Hogares privados con servicio doméstico (151)",66,66,,,
"Actividad economica no especificada (153)",264,240,15,5,4
"Hombres (154)",8242,7256,343,216,427
"Agric., ganadería, caza y silvicultura (155)",6558,6366,134,49,9
"Pesca (156)",5,5,,,
"Explotación de minas y canteras (157)",415,39,48,44,284
"Industrias manufactureras (158)",239,204,15,20,
"Suministro de electricidad, gas y agua (159)",13,2,,11,
"Construcción (160)",283,200,42,18,23
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",136,115,9,3,9
"Venta, mant.y rep. veh.autom y motoc. (162)",29,14,4,2,9
"Comercio al por mayor (163)",6,6,,,
"Comercio al por menor (164)",101,95,5,1,
"Hoteles y restaurantes (165)",25,13,9,1,2
"Trans., almac. y comunicaciones (166)",125,100,12,8,5
"Intermediación financiera (167)",1,1,,,
"Activid.inmobil., empres. y alquileres (168)",69,20,10,37,2
"Admin.pub. y defensa; p. segur soc.afil (169)",75,,,,75
"Enseñanza (170)",119,49,46,19,5
"Servicios sociales y de salud (171)",24,12,2,1,9
"Otras activ. serv.comun.soc y personales (172)",21,16,4,1,
"Hogares privados con servicio doméstico (173)",15,15,,,
"Actividad economica no especificada (175)",119,99,12,4,4
"Mujeres (176)",5801,5581,139,39,42
"Agric., ganadería, caza y silvicultura (177)",5278,5165,99,13,1
"Pesca (178)",2,2,,,
"Explotación de minas y canteras (179)",12,2,4,,6
"Industrias manufactureras (180)",62,52,5,5,
"Construcción (182)",5,1,1,1,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",109,108,1,,
"Venta, mant.y rep. veh.autom y motoc. (184)",1,1,,,
"Comercio al por mayor (185)",5,5,,,
"Comercio al por menor (186)",103,102,1,,
"Hoteles y restaurantes (187)",34,29,2,2,1
"Trans., almac. y comunicaciones (188)",5,1,1,3,
"Activid.inmobil., empres. y alquileres (190)",9,7,,1,1
"Admin.pub. y defensa; p. segur soc.afil (191)",10,,,,10
"Enseñanza (192)",45,13,18,11,3
"Servicios sociales y de salud (193)",27,3,4,2,18
"Otras activ. serv.comun.soc y personales (194)",7,6,1,,
"Hogares privados con servicio doméstico (195)",51,51,,,
"Actividad economica no especificada (197)",145,141,3,1,
