"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"De 45 a 49 años (038)",6,21,21,,100,,
"De 50 y más años (039)",6,44,44,,100,,
"No PEA (040)",22282,67135,61220,1408,91.2,2.1,
"De 12 a 14 años (041)",2676,9,9,1,100,11.1,
"De 15 a 19 años (042)",3085,584,579,188,99.1,32.2,
"De 20 a 24 años (043)",2396,2629,2579,366,98.1,13.9,
"De 25 a 29 años (044)",2083,4121,4031,310,97.8,7.5,
"De 30 a 34 años (045)",1783,5472,5276,254,96.4,4.6,
"De 35 a 39 años (046)",1761,6901,6633,192,96.1,2.8,
"De 40 a 44 años (047)",1518,7065,6659,82,94.3,1.2,
"De 45 a 49 años (048)",1288,6908,6447,15,93.3,0.2,
"De 50 y más años (049)",5692,33446,29007,,86.7,,
,,,,,,,
"URBANA (060)",7344,17323,16248,289,93.8,1.7,
"De 12 a 14 años (061)",677,6,6,,100,,
"De 15 a 19 años (062)",979,107,104,32,97.2,29.9,
"De 20 a 24 años (063)",789,525,519,68,98.9,13,
"De 25 a 29 años (064)",740,969,964,66,99.5,6.8,
"De 30 a 34 años (065)",654,1318,1280,52,97.1,3.9,
"De 35 a 39 años (066)",668,1882,1842,56,97.9,3,
"De 40 a 44 años (067)",619,2057,1977,14,96.1,0.7,
"De 45 a 49 años (068)",475,1815,1737,1,95.7,0.1,
"De 50 y más años (069)",1743,8644,7819,,90.5,,
"PEA (070)",2315,5191,4935,79,95.1,1.5,
"De 12 a 14 años (071)",34,,,,,,
"De 15 a 19 años (072)",134,12,12,3,100,25,
"De 20 a 24 años (073)",247,123,120,13,97.6,10.6,
"De 25 a 29 años (074)",286,295,293,18,99.3,6.1,
"De 30 a 34 años (075)",324,563,542,22,96.3,3.9,
"De 35 a 39 años (076)",333,758,744,22,98.2,2.9,
"De 40 a 44 años (077)",297,831,806,1,97,0.1,
"De 45 a 49 años (078)",232,721,694,,96.3,,
"De 50 y más años (079)",428,1888,1724,,91.3,,
"Ocupada (080)",2244,5107,4853,78,95,1.5,
"De 12 a 14 años (081)",33,,,,,,
"De 15 a 19 años (082)",126,12,12,3,100,25,
"De 20 a 24 años (083)",229,119,116,13,97.5,10.9,
"De 25 a 29 años (084)",273,291,289,17,99.3,5.8,
"De 30 a 34 años (085)",314,546,527,22,96.5,4,
"De 35 a 39 años (086)",326,749,735,22,98.1,2.9,
"De 40 a 44 años (087)",291,815,790,1,96.9,0.1,
"De 45 a 49 años (088)",227,708,681,,96.2,,
"De 50 y más años (089)",425,1867,1703,,91.2,,
"Desocupada (090)",71,84,82,1,97.6,1.2,
"De 12 a 14 años (091)",1,,,,,,
"De 15 a 19 años (092)",8,,,,,,
"De 20 a 24 años (093)",18,4,4,,100,,
"De 25 a 29 años (094)",13,4,4,1,100,25,
"De 30 a 34 años (095)",10,17,15,,88.2,,
"De 35 a 39 años (096)",7,9,9,,100,,
"De 40 a 44 años (097)",6,16,16,,100,,
"De 45 a 49 años (098)",5,13,13,,100,,
"De 50 y más años (099)",3,21,21,,100,,
"No PEA (100)",5029,12132,11313,210,93.2,1.7,
"De 12 a 14 años (101)",643,6,6,,100,,
"De 15 a 19 años (102)",845,95,92,29,96.8,30.5,
"De 20 a 24 años (103)",542,402,399,55,99.3,13.7,
"De 25 a 29 años (104)",454,674,671,48,99.6,7.1,
"De 30 a 34 años (105)",330,755,738,30,97.7,4,
"De 35 a 39 años (106)",335,1124,1098,34,97.7,3,
"De 40 a 44 años (107)",322,1226,1171,13,95.5,1.1,
"De 45 a 49 años (108)",243,1094,1043,1,95.3,0.1,
"De 50 y más años (109)",1315,6756,6095,,90.2,,
,,,,,,,
"RURAL (120)",19331,60048,54584,1314,90.9,2.2,
"De 12 a 14 años (121)",2144,3,3,1,100,33.3,
"De 15 a 19 años (122)",2582,537,534,175,99.4,32.6,
"De 20 a 24 años (123)",2188,2466,2414,346,97.9,14,
"De 25 a 29 años (124)",1862,3821,3725,289,97.5,7.6,
"De 30 a 34 años (125)",1640,5151,4960,239,96.3,4.6,
"De 35 a 39 años (126)",1631,6429,6169,172,96,2.7,
"De 40 a 44 años (127)",1352,6465,6066,75,93.8,1.2,
"De 45 a 49 años (128)",1191,6474,6011,17,92.8,0.3,
"De 50 y más años (129)",4741,28702,24702,,86.1,,
"PEA (130)",2078,5045,4677,116,92.7,2.3,
"De 12 a 14 años (131)",111,,,,,,
"De 15 a 19 años (132)",342,48,47,16,97.9,33.3,
"De 20 a 24 años (133)",334,239,234,35,97.9,14.6,
"De 25 a 29 años (134)",233,374,365,26,97.6,7,
"De 30 a 34 años (135)",187,434,422,15,97.2,3.5,
"De 35 a 39 años (136)",205,652,634,15,97.2,2.3,
"De 40 a 44 años (137)",156,626,578,6,92.3,1,
"De 45 a 49 años (138)",146,660,607,3,92,0.5,
"De 50 y más años (139)",364,2012,1790,,89,,
"Ocupada (140)",1909,4972,4608,113,92.7,2.3,
"De 12 a 14 años (141)",75,,,,,,
"De 15 a 19 años (142)",269,46,45,15,97.8,32.6,
"De 20 a 24 años (143)",299,226,222,33,98.2,14.6,
"De 25 a 29 años (144)",222,365,357,26,97.8,7.1,
"De 30 a 34 años (145)",183,427,415,15,97.2,3.5,
"De 35 a 39 años (146)",202,652,634,15,97.2,2.3,
"De 40 a 44 años (147)",153,615,569,6,92.5,1,
"De 45 a 49 años (148)",145,652,599,3,91.9,0.5,
"De 50 y más años (149)",361,1989,1767,,88.8,,
"Desocupada (150)",169,73,69,3,94.5,4.1,
"De 12 a 14 años (151)",36,,,,,,
"De 15 a 19 años (152)",73,2,2,1,100,50,
"De 20 a 24 años (153)",35,13,12,2,92.3,15.4,
"De 25 a 29 años (154)",11,9,8,,88.9,,
"De 30 a 34 años (155)",4,7,7,,100,,
"De 35 a 39 años (156)",3,,,,,,
"De 40 a 44 años (157)",3,11,9,,81.8,,
"De 45 a 49 años (158)",1,8,8,,100,,
"De 50 y más años (159)",3,23,23,,100,,
"No PEA (160)",17253,55003,49907,1198,90.7,2.2,
"De 12 a 14 años (161)",2033,3,3,1,100,33.3,
"De 15 a 19 años (162)",2240,489,487,159,99.6,32.5,
"De 20 a 24 años (163)",1854,2227,2180,311,97.9,14,
"De 25 a 29 años (164)",1629,3447,3360,263,97.5,7.6,
"De 30 a 34 años (165)",1453,4717,4538,224,96.2,4.7,
"De 35 a 39 años (166)",1426,5777,5535,157,95.8,2.7,
"De 40 a 44 años (167)",1196,5839,5488,69,94,1.2,
"De 45 a 49 años (168)",1045,5814,5404,14,92.9,0.2,
"De 50 y más años (169)",4377,26690,22912,,85.8,,
