"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"De 25 a 29 años (264)",97,65,65,4,100,6.2,
"De 30 a 34 años (265)",58,57,56,3,98.2,5.3,
"De 35 a 39 años (266)",26,45,42,,93.3,,
"De 40 a 44 años (267)",16,25,25,,100,,
"De 45 a 49 años (268)",11,25,25,,100,,
"De 50 y más años (269)",9,35,35,,100,,
"Sup. Univ. incompleta (270)",84,32,31,1,96.9,3.1,
"De 15 a 19 años (272)",26,2,2,,100,,
"De 20 a 24 años (273)",28,6,6,1,100,16.7,
"De 25 a 29 años (274)",8,4,4,,100,,
"De 30 a 34 años (275)",7,5,5,,100,,
"De 35 a 39 años (276)",7,4,4,,100,,
"De 40 a 44 años (277)",5,10,9,,90,,
"De 45 a 49 años (278)",2,1,1,,100,,
"De 50 y más años (279)",1,,,,,,
"Sup. Univ. completa (280)",157,166,161,7,97,4.2,
"De 20 a 24 años (283)",38,10,10,1,100,10,
"De 25 a 29 años (284)",42,21,21,2,100,9.5,
"De 30 a 34 años (285)",32,28,28,2,100,7.1,
"De 35 a 39 años (286)",20,26,26,2,100,7.7,
"De 40 a 44 años (287)",8,19,19,,100,,
"De 45 a 49 años (288)",8,20,20,,100,,
"De 50 y más años (289)",9,42,37,,88.1,,
