"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",198,5,81,61,40,11
"Hogares privados con servicio doméstico (042)",21,2,12,3,4,
"Actividad economica no especificada (044)",78,,19,28,25,6
"Desocupado (045)",422,8,191,124,78,21
"Mujeres (046)",6845,121,2118,2629,1584,393
"Agric., ganadería, caza y silvicultura (047)",1562,32,454,470,433,173
"Explotación de minas y canteras (049)",1,,,,1,
"Industrias manufactureras (050)",260,9,66,86,66,33
"Suministro de electricidad, gas y agua (051)",7,,3,3,1,
"Construcción (052)",22,,9,8,4,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1237,18,310,473,350,86
"Venta, mant.y rep. veh.autom.y motoc. (054)",16,,5,8,3,
"Comercio al por mayor (055)",59,3,13,31,12,
"Comercio al por menor (056)",1162,15,292,434,335,86
"Hoteles y restaurantes (057)",482,15,164,158,124,21
"Trans., almac. y comunicaciones (058)",81,1,51,24,5,
"Intermediación financiera (059)",36,,21,11,4,
"Activid.inmobil., empres. y alquileres (060)",159,,69,65,24,1
"Admin.pub. y defensa; p. segur.soc afil (061)",407,,108,208,90,1
"Enseñanza (062)",901,,166,538,194,3
"Servicios sociales y de salud (063)",278,,73,155,48,2
"Otras activ. serv.comun.soc y personales (064)",250,1,65,114,59,11
"Hogares privados con servicio doméstico (065)",667,39,318,172,112,26
"Actividad economica no especificada (067)",246,,79,85,53,29
"Desocupado (068)",249,6,162,59,16,6
,,,,,,
"URBANA (069)",13585,201,4155,5241,3260,728
"Agric., ganadería, caza y silvicultura (070)",3184,55,915,993,864,357
"Pesca (071)",1,,1,,,
"Explotación de minas y canteras (072)",7,,3,1,2,1
"Industrias manufactureras (073)",697,10,234,223,163,67
"Suministro de electricidad, gas y agua (074)",37,,8,21,7,1
"Construcción (075)",1008,16,306,434,228,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2039,53,590,747,519,130
"Venta, mant.y rep. veh.autom.y motoc. (077)",212,2,84,86,34,6
"Comercio al por mayor (078)",144,4,46,65,28,1
"Comercio al por menor (079)",1683,47,460,596,457,123
"Hoteles y restaurantes (080)",566,13,220,171,139,23
"Trans., almac. y comunicaciones (081)",654,7,267,252,121,7
"Intermediación financiera (082)",69,,32,26,11,
"Activid.inmobil., empres. y alquileres (083)",482,2,169,198,105,8
"Admin.pub. y defensa; p. segur.soc afil (084)",1159,,266,546,328,19
"Enseñanza (085)",1457,,238,853,361,5
"Servicios sociales y de salud (086)",421,,98,227,91,5
"Otras activ. serv.comun.soc y personales (087)",397,6,136,153,85,17
"Hogares privados con servicio doméstico (088)",584,30,287,155,94,18
"Actividad economica no especificada (090)",250,,76,84,63,27
"Desocupado (091)",573,9,309,157,79,19
"Hombres (092)",8152,122,2464,3063,2038,465
"Agric., ganadería, caza y silvicultura (093)",2491,42,719,777,675,278
"Pesca (094)",1,,1,,,
"Explotación de minas y canteras (095)",6,,3,1,1,1
"Industrias manufactureras (096)",476,2,180,152,102,40
"Suministro de electricidad, gas y agua (097)",30,,5,18,6,1
"Construcción (098)",987,16,297,426,224,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",922,38,307,319,207,51
"Venta, mant.y rep. veh.autom.y motoc. (100)",197,2,79,78,32,6
"Comercio al por mayor (101)",88,1,34,35,17,1
"Comercio al por menor (102)",637,35,194,206,158,44
"Hoteles y restaurantes (103)",134,4,69,29,28,4
"Trans., almac. y comunicaciones (104)",574,6,217,228,116,7
"Intermediación financiera (105)",34,,12,15,7,
"Activid.inmobil., empres. y alquileres (106)",327,2,101,134,83,7
"Admin.pub. y defensa; p. segur.soc afil (107)",764,,161,345,240,18
"Enseñanza (108)",625,,93,353,177,2
"Servicios sociales y de salud (109)",158,,31,81,43,3
"Otras activ. serv.comun.soc y personales (110)",190,5,78,58,39,10
"Hogares privados con servicio doméstico (111)",18,2,11,3,2,
"Actividad economica no especificada (113)",69,,16,25,24,4
"Desocupado (114)",346,5,163,99,64,15
"Mujeres (115)",5433,79,1691,2178,1222,263
"Agric., ganadería, caza y silvicultura (116)",693,13,196,216,189,79
"Explotación de minas y canteras (118)",1,,,,1,
"Industrias manufactureras (119)",221,8,54,71,61,27
"Suministro de electricidad, gas y agua (120)",7,,3,3,1,
"Construcción (121)",21,,9,8,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1117,15,283,428,312,79
"Venta, mant.y rep. veh.autom.y motoc. (123)",15,,5,8,2,
"Comercio al por mayor (124)",56,3,12,30,11,
"Comercio al por menor (125)",1046,12,266,390,299,79
"Hoteles y restaurantes (126)",432,9,151,142,111,19
"Trans., almac. y comunicaciones (127)",80,1,50,24,5,
"Intermediación financiera (128)",35,,20,11,4,
"Activid.inmobil., empres. y alquileres (129)",155,,68,64,22,1
"Admin.pub. y defensa; p. segur.soc afil (130)",395,,105,201,88,1
"Enseñanza (131)",832,,145,500,184,3
"Servicios sociales y de salud (132)",263,,67,146,48,2
"Otras activ. serv.comun.soc y personales (133)",207,1,58,95,46,7
"Hogares privados con servicio doméstico (134)",566,28,276,152,92,18
"Actividad economica no especificada (136)",181,,60,59,39,23
"Desocupado (137)",227,4,146,58,15,4
,,,,,,
"RURAL (138)",5895,200,1953,1806,1410,526
"Agric., ganadería, caza y silvicultura (139)",4786,158,1595,1393,1173,467
"Explotación de minas y canteras (141)",24,,15,5,4,
"Industrias manufactureras (142)",102,2,31,37,23,9
"Suministro de electricidad, gas y agua (143)",11,,3,6,2,
"Construcción (144)",106,1,42,38,24,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",211,14,51,75,56,15
"Venta, mant.y rep. veh.autom.y motoc. (146)",6,,3,2,1,
"Comercio al por mayor (147)",14,,7,5,2,
"Comercio al por menor (148)",191,14,41,68,53,15
"Hoteles y restaurantes (149)",55,7,14,16,15,3
"Trans., almac. y comunicaciones (150)",53,2,19,23,8,1
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",15,,5,7,3,
"Admin.pub. y defensa; p. segur.soc afil (153)",45,,14,22,8,1
"Enseñanza (154)",133,,35,71,27,
"Servicios sociales y de salud (155)",26,,9,16,1,
"Otras activ. serv.comun.soc y personales (156)",51,,10,22,14,5
"Hogares privados con servicio doméstico (157)",104,11,43,20,22,8
"Actividad economica no especificada (159)",74,,22,29,15,8
"Desocupado (160)",98,5,44,26,15,8
"Hombres (161)",4483,158,1526,1355,1048,396
"Agric., ganadería, caza y silvicultura (162)",3917,139,1337,1139,929,373
"Explotación de minas y canteras (164)",24,,15,5,4,
"Industrias manufactureras (165)",63,1,19,22,18,3
"Suministro de electricidad, gas y agua (166)",11,,3,6,2,
"Construcción (167)",105,1,42,38,24,
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",91,11,24,30,18,8
"Venta, mant.y rep. veh.autom.y motoc. (169)",5,,3,2,,
"Comercio al por mayor (170)",11,,6,4,1,
"Comercio al por menor (171)",75,11,15,24,17,8
"Hoteles y restaurantes (172)",5,1,1,,2,1
"Trans., almac. y comunicaciones (173)",52,2,18,23,8,1
"Activid.inmobil., empres. y alquileres (175)",11,,4,6,1,
"Admin.pub. y defensa; p. segur.soc afil (176)",33,,11,15,6,1
"Enseñanza (177)",64,,14,33,17,
"Servicios sociales y de salud (178)",11,,3,7,1,
"Otras activ. serv.comun.soc y personales (179)",8,,3,3,1,1
"Hogares privados con servicio doméstico (180)",3,,1,,2,
"Actividad economica no especificada (182)",9,,3,3,1,2
"Desocupado (183)",76,3,28,25,14,6
"Mujeres (184)",1412,42,427,451,362,130
"Agric., ganadería, caza y silvicultura (185)",869,19,258,254,244,94
"Industrias manufactureras (188)",39,1,12,15,5,6
"Construcción (190)",1,,,,,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",120,3,27,45,38,7
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,,,1,
"Comercio al por mayor (193)",3,,1,1,1,
"Comercio al por menor (194)",116,3,26,44,36,7
"Hoteles y restaurantes (195)",50,6,13,16,13,2
"Trans., almac. y comunicaciones (196)",1,,1,,,
"Intermediación financiera (197)",1,,1,,,
"Activid.inmobil., empres. y alquileres (198)",4,,1,1,2,
"Admin.pub. y defensa; p. segur.soc afil (199)",12,,3,7,2,
"Enseñanza (200)",69,,21,38,10,
"Servicios sociales y de salud (201)",15,,6,9,,
"Otras activ. serv.comun.soc y personales (202)",43,,7,19,13,4
"Hogares privados con servicio doméstico (203)",101,11,42,20,20,8
"Actividad economica no especificada (205)",65,,19,26,14,6
"Desocupado (206)",22,2,16,1,1,2
