"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",443,5,138,142,121,37
"Hogares privados con servicio doméstico (042)",43,7,20,6,10,
"Actividad economica no especificada (044)",714,5,226,243,197,43
"Desocupado (045)",1320,23,629,329,290,49
"Mujeres (046)",9213,116,2804,3608,2372,313
"Agric., ganadería, caza y silvicultura (047)",1444,34,454,535,366,55
"Pesca (048)",7,,1,4,1,1
"Explotación de minas y canteras (049)",1,,1,,,
"Industrias manufactureras (050)",344,5,105,126,96,12
"Suministro de electricidad, gas y agua (051)",5,,4,1,,
"Construcción (052)",35,,13,15,6,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2473,29,595,941,777,131
"Venta, mant.y rep. veh.autom.y motoc. (054)",63,,33,24,6,
"Comercio al por mayor (055)",93,,29,34,24,6
"Comercio al por menor (056)",2317,29,533,883,747,125
"Hoteles y restaurantes (057)",771,11,207,282,239,32
"Trans., almac. y comunicaciones (058)",162,1,77,56,25,3
"Intermediación financiera (059)",45,,32,10,3,
"Activid.inmobil., empres. y alquileres (060)",328,,150,122,54,2
"Admin.pub. y defensa; p. segur.soc afil (061)",194,,54,86,49,5
"Enseñanza (062)",1136,,193,632,297,14
"Servicios sociales y de salud (063)",274,,62,112,99,1
"Otras activ. serv.comun.soc y personales (064)",297,2,86,134,70,5
"Hogares privados con servicio doméstico (065)",833,18,359,290,149,17
"Actividad economica no especificada (067)",388,1,130,134,99,24
"Desocupado (068)",476,15,281,128,42,10
,,,,,,
"URBANA (069)",30939,349,9299,11428,8493,1370
"Agric., ganadería, caza y silvicultura (070)",8334,129,2378,2833,2451,543
"Pesca (071)",293,1,67,111,106,8
"Explotación de minas y canteras (072)",61,,18,30,13,
"Industrias manufactureras (073)",2378,27,801,889,579,82
"Suministro de electricidad, gas y agua (074)",53,,13,32,7,1
"Construcción (075)",2018,14,619,768,551,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",5263,84,1378,1896,1613,292
"Venta, mant.y rep. veh.autom.y motoc. (077)",706,4,279,234,167,22
"Comercio al por mayor (078)",237,,78,90,58,11
"Comercio al por menor (079)",4320,80,1021,1572,1388,259
"Hoteles y restaurantes (080)",1117,16,325,384,341,51
"Trans., almac. y comunicaciones (081)",2937,12,1047,1141,674,63
"Intermediación financiera (082)",97,,53,27,17,
"Activid.inmobil., empres. y alquileres (083)",1170,1,409,471,261,28
"Admin.pub. y defensa; p. segur.soc afil (084)",714,,110,326,255,23
"Enseñanza (085)",1827,,269,983,545,30
"Servicios sociales y de salud (086)",420,,79,177,158,6
"Otras activ. serv.comun.soc y personales (087)",731,7,222,274,187,41
"Hogares privados con servicio doméstico (088)",848,24,363,290,154,17
"Actividad economica no especificada (090)",1075,6,347,373,285,64
"Desocupado (091)",1603,28,801,423,296,55
"Hombres (092)",22097,241,6655,7940,6198,1063
"Agric., ganadería, caza y silvicultura (093)",7083,101,1996,2365,2129,492
"Pesca (094)",286,1,66,107,105,7
"Explotación de minas y canteras (095)",60,,17,30,13,
"Industrias manufactureras (096)",2037,22,698,764,483,70
"Suministro de electricidad, gas y agua (097)",48,,9,31,7,1
"Construcción (098)",1983,14,606,753,545,65
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",2843,55,799,976,851,162
"Venta, mant.y rep. veh.autom.y motoc. (100)",644,4,246,211,161,22
"Comercio al por mayor (101)",153,,52,59,36,6
"Comercio al por menor (102)",2046,51,501,706,654,134
"Hoteles y restaurantes (103)",351,5,119,106,102,19
"Trans., almac. y comunicaciones (104)",2775,11,970,1085,649,60
"Intermediación financiera (105)",52,,21,17,14,
"Activid.inmobil., empres. y alquileres (106)",851,1,264,352,208,26
"Admin.pub. y defensa; p. segur.soc afil (107)",521,,56,241,206,18
"Enseñanza (108)",706,,82,360,248,16
"Servicios sociales y de salud (109)",151,,19,66,61,5
"Otras activ. serv.comun.soc y personales (110)",437,5,137,142,117,36
"Hogares privados con servicio doméstico (111)",41,6,20,6,9,
"Actividad economica no especificada (113)",696,5,220,241,190,40
"Desocupado (114)",1176,15,556,298,261,46
"Mujeres (115)",8842,108,2644,3488,2295,307
"Agric., ganadería, caza y silvicultura (116)",1251,28,382,468,322,51
"Pesca (117)",7,,1,4,1,1
"Explotación de minas y canteras (118)",1,,1,,,
"Industrias manufactureras (119)",341,5,103,125,96,12
"Suministro de electricidad, gas y agua (120)",5,,4,1,,
"Construcción (121)",35,,13,15,6,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",2420,29,579,920,762,130
"Venta, mant.y rep. veh.autom.y motoc. (123)",62,,33,23,6,
"Comercio al por mayor (124)",84,,26,31,22,5
"Comercio al por menor (125)",2274,29,520,866,734,125
"Hoteles y restaurantes (126)",766,11,206,278,239,32
"Trans., almac. y comunicaciones (127)",162,1,77,56,25,3
"Intermediación financiera (128)",45,,32,10,3,
"Activid.inmobil., empres. y alquileres (129)",319,,145,119,53,2
"Admin.pub. y defensa; p. segur.soc afil (130)",193,,54,85,49,5
"Enseñanza (131)",1121,,187,623,297,14
"Servicios sociales y de salud (132)",269,,60,111,97,1
"Otras activ. serv.comun.soc y personales (133)",294,2,85,132,70,5
"Hogares privados con servicio doméstico (134)",807,18,343,284,145,17
"Actividad economica no especificada (136)",379,1,127,132,95,24
"Desocupado (137)",427,13,245,125,35,9
,,,,,,
"RURAL (138)",2359,45,873,716,606,119
"Agric., ganadería, caza y silvicultura (139)",1686,32,575,506,468,105
"Pesca (140)",5,1,,1,3,
"Explotación de minas y canteras (141)",1,,1,,,
"Industrias manufactureras (142)",37,,25,8,4,
"Suministro de electricidad, gas y agua (143)",9,,1,5,3,
"Construcción (144)",65,,28,18,15,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",111,1,35,47,27,1
"Venta, mant.y rep. veh.autom.y motoc. (146)",10,,5,4,1,
"Comercio al por mayor (147)",15,1,5,4,4,1
"Comercio al por menor (148)",86,,25,39,22,
"Hoteles y restaurantes (149)",8,,1,6,1,
"Trans., almac. y comunicaciones (150)",102,,42,43,16,1
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",40,,17,16,7,
"Admin.pub. y defensa; p. segur.soc afil (153)",4,,,3,1,
"Enseñanza (154)",23,,7,14,2,
"Servicios sociales y de salud (155)",10,,4,3,3,
"Otras activ. serv.comun.soc y personales (156)",9,,2,2,4,1
"Hogares privados con servicio doméstico (157)",28,1,16,6,5,
"Actividad economica no especificada (159)",27,,9,4,11,3
"Desocupado (160)",193,10,109,34,36,4
"Hombres (161)",1988,37,713,596,529,113
"Agric., ganadería, caza y silvicultura (162)",1493,26,503,439,424,101
"Pesca (163)",5,1,,1,3,
"Explotación de minas y canteras (164)",1,,1,,,
"Industrias manufactureras (165)",34,,23,7,4,
"Suministro de electricidad, gas y agua (166)",9,,1,5,3,
"Construcción (167)",65,,28,18,15,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",58,1,19,26,12,
"Venta, mant.y rep. veh.autom.y motoc. (169)",9,,5,3,1,
"Comercio al por mayor (170)",6,1,2,1,2,
"Comercio al por menor (171)",43,,12,22,9,
"Hoteles y restaurantes (172)",3,,,2,1,
"Trans., almac. y comunicaciones (173)",102,,42,43,16,1
"Intermediación financiera (174)",1,,1,,,
"Activid.inmobil., empres. y alquileres (175)",31,,12,13,6,
"Admin.pub. y defensa; p. segur.soc afil (176)",3,,,2,1,
"Enseñanza (177)",8,,1,5,2,
"Servicios sociales y de salud (178)",5,,2,2,1,
"Otras activ. serv.comun.soc y personales (179)",6,,1,,4,1
"Hogares privados con servicio doméstico (180)",2,1,,,1,
"Actividad economica no especificada (182)",18,,6,2,7,3
"Desocupado (183)",144,8,73,31,29,3
"Mujeres (184)",371,8,160,120,77,6
"Agric., ganadería, caza y silvicultura (185)",193,6,72,67,44,4
"Industrias manufactureras (188)",3,,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",53,,16,21,15,1
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,,1,,
"Comercio al por mayor (193)",9,,3,3,2,1
"Comercio al por menor (194)",43,,13,17,13,
"Hoteles y restaurantes (195)",5,,1,4,,
"Activid.inmobil., empres. y alquileres (198)",9,,5,3,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",1,,,1,,
"Enseñanza (200)",15,,6,9,,
"Servicios sociales y de salud (201)",5,,2,1,2,
"Otras activ. serv.comun.soc y personales (202)",3,,1,2,,
"Hogares privados con servicio doméstico (203)",26,,16,6,4,
"Actividad economica no especificada (205)",9,,3,2,4,
"Desocupado (206)",49,2,36,3,7,1
