"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Mujeres (044)",3023,2407,120,72,424
"Agric., ganadería, caza y silvicultura (045)",1006,957,36,10,3
"Explotación de minas y canteras (047)",1,,,1,
"Industrias manufactureras (048)",86,73,,8,5
"Construcción (050)",2,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",712,697,15,,
"Venta, mant.y rep. veh.autom y motoc. (052)",9,9,,,
"Comercio al por mayor (053)",19,19,,,
"Comercio al por menor (054)",684,669,15,,
"Hoteles y restaurantes (055)",238,222,14,1,1
"Trans., almac. y comunicaciones (056)",29,26,1,,2
"Intermediación financiera (057)",5,,,2,3
"Activid.inmobil., empres. y alquileres (058)",36,26,3,4,3
"Admin.pub. y defensa; p. segur soc.afil (059)",137,,,,137
"Enseñanza (060)",314,46,35,39,194
"Servicios sociales y de salud (061)",93,17,7,2,67
"Otras activ. serv.comun.soc y personales (062)",165,157,7,,1
"Hogares privados con servicio doméstico (063)",85,85,,,
"Actividad economica no especificada (065)",114,99,2,5,8
,,,,,
"URBANA (066)",5942,4368,355,217,1002
"Agric., ganadería, caza y silvicultura (067)",1280,1173,76,22,9
"Pesca (068)",1,1,,,
"Explotación de minas y canteras (069)",100,8,7,20,65
"Industrias manufactureras (070)",327,288,11,17,11
"Suministro de electricidad, gas y agua (071)",4,1,,1,2
"Construcción (072)",348,274,41,20,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1218,1176,40,2,
"Venta, mant.y rep. veh.autom y motoc. (074)",139,130,8,1,
"Comercio al por mayor (075)",48,46,2,,
"Comercio al por menor (076)",1031,1000,30,1,
"Hoteles y restaurantes (077)",317,284,26,4,3
"Trans., almac. y comunicaciones (078)",663,573,37,16,37
"Intermediación financiera (079)",8,1,,4,3
"Activid.inmobil., empres. y alquileres (080)",151,88,23,13,27
"Admin.pub. y defensa; p. segur soc.afil (081)",357,,,,357
"Enseñanza (082)",557,56,62,83,356
"Servicios sociales y de salud (083)",153,42,8,2,101
"Otras activ. serv.comun.soc y personales (084)",221,195,18,5,3
"Hogares privados con servicio doméstico (085)",79,79,,,
"Actividad economica no especificada (087)",158,129,6,8,15
"Hombres (088)",3701,2697,258,152,594
"Agric., ganadería, caza y silvicultura (089)",941,863,57,13,8
"Pesca (090)",1,1,,,
"Explotación de minas y canteras (091)",99,8,7,19,65
"Industrias manufactureras (092)",244,218,11,9,6
"Suministro de electricidad, gas y agua (093)",4,1,,1,2
"Construcción (094)",346,272,41,20,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",526,499,25,2,
"Venta, mant.y rep. veh.autom y motoc. (096)",131,122,8,1,
"Comercio al por mayor (097)",30,28,2,,
"Comercio al por menor (098)",365,349,15,1,
"Hoteles y restaurantes (099)",90,73,12,3,2
"Trans., almac. y comunicaciones (100)",634,547,36,16,35
"Intermediación financiera (101)",3,1,,2,
"Activid.inmobil., empres. y alquileres (102)",116,62,20,10,24
"Admin.pub. y defensa; p. segur soc.afil (103)",223,,,,223
"Enseñanza (104)",277,28,33,47,169
"Servicios sociales y de salud (105)",65,25,1,1,38
"Otras activ. serv.comun.soc y personales (106)",62,44,11,5,2
"Hogares privados con servicio doméstico (107)",1,1,,,
"Actividad economica no especificada (109)",69,54,4,4,7
"Mujeres (110)",2241,1671,97,65,408
"Agric., ganadería, caza y silvicultura (111)",339,310,19,9,1
"Explotación de minas y canteras (113)",1,,,1,
"Industrias manufactureras (114)",83,70,,8,5
"Construcción (116)",2,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",692,677,15,,
"Venta, mant.y rep. veh.autom y motoc. (118)",8,8,,,
"Comercio al por mayor (119)",18,18,,,
"Comercio al por menor (120)",666,651,15,,
"Hoteles y restaurantes (121)",227,211,14,1,1
"Trans., almac. y comunicaciones (122)",29,26,1,,2
"Intermediación financiera (123)",5,,,2,3
"Activid.inmobil., empres. y alquileres (124)",35,26,3,3,3
"Admin.pub. y defensa; p. segur soc.afil (125)",134,,,,134
"Enseñanza (126)",280,28,29,36,187
"Servicios sociales y de salud (127)",88,17,7,1,63
"Otras activ. serv.comun.soc y personales (128)",159,151,7,,1
"Hogares privados con servicio doméstico (129)",78,78,,,
"Actividad economica no especificada (131)",89,75,2,4,8
,,,,,
"RURAL (132)",3302,3089,93,71,49
"Agric., ganadería, caza y silvicultura (133)",2909,2848,48,11,2
"Explotación de minas y canteras (135)",26,14,4,3,5
"Industrias manufactureras (136)",16,9,2,3,2
"Suministro de electricidad, gas y agua (137)",32,,,32,
"Construcción (138)",41,27,8,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",51,48,1,1,1
"Venta, mant.y rep. veh.autom y motoc. (140)",7,5,1,,1
"Comercio al por mayor (141)",5,4,,1,
"Comercio al por menor (142)",39,39,,,
"Hoteles y restaurantes (143)",17,16,,1,
"Trans., almac. y comunicaciones (144)",45,38,5,2,
"Activid.inmobil., empres. y alquileres (146)",17,10,4,2,1
"Admin.pub. y defensa; p. segur soc.afil (147)",14,,,,14
"Enseñanza (148)",65,27,19,4,15
"Servicios sociales y de salud (149)",9,,,1,8
"Otras activ. serv.comun.soc y personales (150)",10,7,1,1,1
"Hogares privados con servicio doméstico (151)",7,7,,,
"Actividad economica no especificada (153)",43,38,1,4,
"Hombres (154)",2520,2353,70,64,33
"Agric., ganadería, caza y silvicultura (155)",2242,2201,31,10,
"Explotación de minas y canteras (157)",26,14,4,3,5
"Industrias manufactureras (158)",13,6,2,3,2
"Suministro de electricidad, gas y agua (159)",32,,,32,
"Construcción (160)",41,27,8,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",31,28,1,1,1
"Venta, mant.y rep. veh.autom y motoc. (162)",6,4,1,,1
"Comercio al por mayor (163)",4,3,,1,
"Comercio al por menor (164)",21,21,,,
"Hoteles y restaurantes (165)",6,5,,1,
"Trans., almac. y comunicaciones (166)",45,38,5,2,
"Activid.inmobil., empres. y alquileres (168)",16,10,4,1,1
"Admin.pub. y defensa; p. segur soc.afil (169)",11,,,,11
"Enseñanza (170)",31,9,13,1,8
"Servicios sociales y de salud (171)",4,,,,4
"Otras activ. serv.comun.soc y personales (172)",4,1,1,1,1
"Actividad economica no especificada (175)",18,14,1,3,
"Mujeres (176)",782,736,23,7,16
"Agric., ganadería, caza y silvicultura (177)",667,647,17,1,2
"Industrias manufactureras (180)",3,3,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",20,20,,,
"Venta, mant.y rep. veh.autom y motoc. (184)",1,1,,,
"Comercio al por mayor (185)",1,1,,,
"Comercio al por menor (186)",18,18,,,
"Hoteles y restaurantes (187)",11,11,,,
"Activid.inmobil., empres. y alquileres (190)",1,,,1,
"Admin.pub. y defensa; p. segur soc.afil (191)",3,,,,3
"Enseñanza (192)",34,18,6,3,7
"Servicios sociales y de salud (193)",5,,,1,4
"Otras activ. serv.comun.soc y personales (194)",6,6,,,
"Hogares privados con servicio doméstico (195)",7,7,,,
"Actividad economica no especificada (197)",25,24,,1,
