"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",176,,65,63,35,13
"Hogares privados con servicio doméstico (042)",11,,5,4,,2
"Actividad economica no especificada (044)",62,,23,21,11,7
"Desocupado (045)",635,18,319,158,108,32
"Mujeres (046)",4760,51,1546,1896,1121,146
"Agric., ganadería, caza y silvicultura (047)",817,17,284,284,199,33
"Pesca (048)",84,1,39,34,10,
"Explotación de minas y canteras (049)",1,,,,1,
"Industrias manufactureras (050)",427,1,169,174,79,4
"Suministro de electricidad, gas y agua (051)",1,,,1,,
"Construcción (052)",12,,8,3,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1199,14,289,482,353,61
"Venta, mant.y rep. veh.autom.y motoc. (054)",22,,6,10,5,1
"Comercio al por mayor (055)",97,,28,44,23,2
"Comercio al por menor (056)",1080,14,255,428,325,58
"Hoteles y restaurantes (057)",552,5,154,200,168,25
"Trans., almac. y comunicaciones (058)",93,1,52,33,7,
"Intermediación financiera (059)",12,,8,4,,
"Activid.inmobil., empres. y alquileres (060)",117,,59,43,14,1
"Admin.pub. y defensa; p. segur.soc afil (061)",170,,66,75,26,3
"Enseñanza (062)",442,,76,264,100,2
"Servicios sociales y de salud (063)",120,,26,62,32,
"Otras activ. serv.comun.soc y personales (064)",143,1,48,55,35,4
"Hogares privados con servicio doméstico (065)",215,6,87,81,41,
"Actividad economica no especificada (067)",130,,41,47,30,12
"Desocupado (068)",225,5,140,54,25,1
,,,,,,
"URBANA (069)",12177,106,4038,4504,2969,560
"Agric., ganadería, caza y silvicultura (070)",2327,28,746,736,629,188
"Pesca (071)",759,5,269,305,161,19
"Explotación de minas y canteras (072)",26,,8,12,6,
"Industrias manufactureras (073)",923,4,333,354,201,31
"Suministro de electricidad, gas y agua (074)",19,,3,7,9,
"Construcción (075)",551,1,177,220,137,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2294,27,605,870,654,138
"Venta, mant.y rep. veh.autom.y motoc. (077)",254,2,95,89,58,10
"Comercio al por mayor (078)",222,,76,99,40,7
"Comercio al por menor (079)",1818,25,434,682,556,121
"Hoteles y restaurantes (080)",742,12,213,251,221,45
"Trans., almac. y comunicaciones (081)",1468,7,639,505,276,41
"Intermediación financiera (082)",29,,17,8,4,
"Activid.inmobil., empres. y alquileres (083)",384,,157,147,68,12
"Admin.pub. y defensa; p. segur.soc afil (084)",425,,120,182,113,10
"Enseñanza (085)",744,,113,423,202,6
"Servicios sociales y de salud (086)",161,,36,78,44,3
"Otras activ. serv.comun.soc y personales (087)",306,1,105,115,68,17
"Hogares privados con servicio doméstico (088)",207,6,82,78,39,2
"Actividad economica no especificada (090)",162,,59,53,34,16
"Desocupado (091)",650,15,356,160,103,16
"Hombres (092)",8059,68,2710,2850,1988,443
"Agric., ganadería, caza y silvicultura (093)",1884,21,591,583,513,176
"Pesca (094)",679,4,233,272,151,19
"Explotación de minas y canteras (095)",25,,8,12,5,
"Industrias manufactureras (096)",517,3,178,185,124,27
"Suministro de electricidad, gas y agua (097)",18,,3,6,9,
"Construcción (098)",540,1,169,218,136,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1171,15,332,415,329,80
"Venta, mant.y rep. veh.autom.y motoc. (100)",232,2,89,79,53,9
"Comercio al por mayor (101)",136,,50,59,22,5
"Comercio al por menor (102)",803,13,193,277,254,66
"Hoteles y restaurantes (103)",229,7,67,71,62,22
"Trans., almac. y comunicaciones (104)",1377,6,589,472,269,41
"Intermediación financiera (105)",17,,9,4,4,
"Activid.inmobil., empres. y alquileres (106)",274,,99,109,55,11
"Admin.pub. y defensa; p. segur.soc afil (107)",265,,59,112,87,7
"Enseñanza (108)",337,,44,181,108,4
"Servicios sociales y de salud (109)",43,,10,17,13,3
"Otras activ. serv.comun.soc y personales (110)",166,,59,60,34,13
"Hogares privados con servicio doméstico (111)",10,,5,3,,2
"Actividad economica no especificada (113)",56,,21,20,9,6
"Desocupado (114)",451,11,234,110,80,16
"Mujeres (115)",4118,38,1328,1654,981,117
"Agric., ganadería, caza y silvicultura (116)",443,7,155,153,116,12
"Pesca (117)",80,1,36,33,10,
"Explotación de minas y canteras (118)",1,,,,1,
"Industrias manufactureras (119)",406,1,155,169,77,4
"Suministro de electricidad, gas y agua (120)",1,,,1,,
"Construcción (121)",11,,8,2,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1123,12,273,455,325,58
"Venta, mant.y rep. veh.autom.y motoc. (123)",22,,6,10,5,1
"Comercio al por mayor (124)",86,,26,40,18,2
"Comercio al por menor (125)",1015,12,241,405,302,55
"Hoteles y restaurantes (126)",513,5,146,180,159,23
"Trans., almac. y comunicaciones (127)",91,1,50,33,7,
"Intermediación financiera (128)",12,,8,4,,
"Activid.inmobil., empres. y alquileres (129)",110,,58,38,13,1
"Admin.pub. y defensa; p. segur.soc afil (130)",160,,61,70,26,3
"Enseñanza (131)",407,,69,242,94,2
"Servicios sociales y de salud (132)",118,,26,61,31,
"Otras activ. serv.comun.soc y personales (133)",140,1,46,55,34,4
"Hogares privados con servicio doméstico (134)",197,6,77,75,39,
"Actividad economica no especificada (136)",106,,38,33,25,10
"Desocupado (137)",199,4,122,50,23,
,,,,,,
"RURAL (138)",4657,52,1637,1472,1079,417
"Agric., ganadería, caza y silvicultura (139)",3574,40,1216,1065,876,377
"Pesca (140)",67,,32,22,12,1
"Explotación de minas y canteras (141)",10,,6,3,,1
"Industrias manufactureras (142)",85,,42,33,9,1
"Suministro de electricidad, gas y agua (143)",16,,5,9,2,
"Construcción (144)",92,1,36,32,22,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",149,2,36,57,48,6
"Venta, mant.y rep. veh.autom.y motoc. (146)",17,,8,7,2,
"Comercio al por mayor (147)",20,,3,6,10,1
"Comercio al por menor (148)",112,2,25,44,36,5
"Hoteles y restaurantes (149)",50,1,12,22,10,5
"Trans., almac. y comunicaciones (150)",198,,88,79,30,1
"Activid.inmobil., empres. y alquileres (152)",57,,19,26,8,4
"Admin.pub. y defensa; p. segur.soc afil (153)",34,,9,17,8,
"Enseñanza (154)",49,,9,29,11,
"Servicios sociales y de salud (155)",4,,1,1,2,
"Otras activ. serv.comun.soc y personales (156)",13,,8,3,2,
"Hogares privados con servicio doméstico (157)",19,,10,7,2,
"Actividad economica no especificada (159)",30,,5,15,7,3
"Desocupado (160)",210,8,103,52,30,17
"Hombres (161)",4015,39,1419,1230,939,388
"Agric., ganadería, caza y silvicultura (162)",3200,30,1087,934,793,356
"Pesca (163)",63,,29,21,12,1
"Explotación de minas y canteras (164)",10,,6,3,,1
"Industrias manufactureras (165)",64,,28,28,7,1
"Suministro de electricidad, gas y agua (166)",16,,5,9,2,
"Construcción (167)",91,1,36,31,22,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",73,,20,30,20,3
"Venta, mant.y rep. veh.autom.y motoc. (169)",17,,8,7,2,
"Comercio al por mayor (170)",9,,1,2,5,1
"Comercio al por menor (171)",47,,11,21,13,2
"Hoteles y restaurantes (172)",11,1,4,2,1,3
"Trans., almac. y comunicaciones (173)",196,,86,79,30,1
"Activid.inmobil., empres. y alquileres (175)",50,,18,21,7,4
"Admin.pub. y defensa; p. segur.soc afil (176)",24,,4,12,8,
"Enseñanza (177)",14,,2,7,5,
"Servicios sociales y de salud (178)",2,,1,,1,
"Otras activ. serv.comun.soc y personales (179)",10,,6,3,1,
"Hogares privados con servicio doméstico (180)",1,,,1,,
"Actividad economica no especificada (182)",6,,2,1,2,1
"Desocupado (183)",184,7,85,48,28,16
"Mujeres (184)",642,13,218,242,140,29
"Agric., ganadería, caza y silvicultura (185)",374,10,129,131,83,21
"Pesca (186)",4,,3,1,,
"Industrias manufactureras (188)",21,,14,5,2,
"Construcción (190)",1,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",76,2,16,27,28,3
"Comercio al por mayor (193)",11,,2,4,5,
"Comercio al por menor (194)",65,2,14,23,23,3
"Hoteles y restaurantes (195)",39,,8,20,9,2
"Trans., almac. y comunicaciones (196)",2,,2,,,
"Activid.inmobil., empres. y alquileres (198)",7,,1,5,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",10,,5,5,,
"Enseñanza (200)",35,,7,22,6,
"Servicios sociales y de salud (201)",2,,,1,1,
"Otras activ. serv.comun.soc y personales (202)",3,,2,,1,
"Hogares privados con servicio doméstico (203)",18,,10,6,2,
"Actividad economica no especificada (205)",24,,3,14,5,2
"Desocupado (206)",26,1,18,4,2,1
