"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",417,409,8,,
"Venta, mant.y rep. veh.autom y motoc. (052)",4,4,,,
"Comercio al por mayor (053)",13,13,,,
"Comercio al por menor (054)",400,392,8,,
"Hoteles y restaurantes (055)",125,124,,1,
"Trans., almac. y comunicaciones (056)",18,15,1,1,1
"Activid.inmobil., empres. y alquileres (058)",12,4,4,1,3
"Admin.pub. y defensa; p. segur soc.afil (059)",90,,,,90
"Enseñanza (060)",402,123,62,44,173
"Servicios sociales y de salud (061)",108,13,3,,92
"Otras activ. serv.comun.soc y personales (062)",80,57,11,1,11
"Hogares privados con servicio doméstico (063)",481,481,,,
"Actividad economica no especificada (065)",453,431,14,5,3
,,,,,
"URBANA (066)",6785,5637,355,138,655
"Agric., ganadería, caza y silvicultura (067)",3954,3802,130,9,13
"Explotación de minas y canteras (069)",2,,,2,
"Industrias manufactureras (070)",243,226,10,6,1
"Suministro de electricidad, gas y agua (071)",6,3,1,2,
"Construcción (072)",256,187,56,10,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",557,544,11,1,1
"Venta, mant.y rep. veh.autom y motoc. (074)",19,17,2,,
"Comercio al por mayor (075)",28,27,,,1
"Comercio al por menor (076)",510,500,9,1,
"Hoteles y restaurantes (077)",113,111,,2,
"Trans., almac. y comunicaciones (078)",141,122,12,5,2
"Activid.inmobil., empres. y alquileres (080)",23,9,6,4,4
"Admin.pub. y defensa; p. segur soc.afil (081)",245,,,,245
"Enseñanza (082)",518,76,96,88,258
"Servicios sociales y de salud (083)",138,19,7,,112
"Otras activ. serv.comun.soc y personales (084)",119,79,22,5,13
"Hogares privados con servicio doméstico (085)",259,259,,,
"Actividad economica no especificada (087)",211,200,4,4,3
"Hombres (088)",4974,4269,262,86,357
"Agric., ganadería, caza y silvicultura (089)",3616,3492,112,5,7
"Explotación de minas y canteras (091)",2,,,2,
"Industrias manufactureras (092)",131,125,5,1,
"Suministro de electricidad, gas y agua (093)",6,3,1,2,
"Construcción (094)",253,185,55,10,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",228,221,5,1,1
"Venta, mant.y rep. veh.autom y motoc. (096)",15,13,2,,
"Comercio al por mayor (097)",19,18,,,1
"Comercio al por menor (098)",194,190,3,1,
"Hoteles y restaurantes (099)",16,15,,1,
"Trans., almac. y comunicaciones (100)",124,108,11,4,1
"Activid.inmobil., empres. y alquileres (102)",13,6,3,3,1
"Admin.pub. y defensa; p. segur soc.afil (103)",170,,,,170
"Enseñanza (104)",251,26,50,52,123
"Servicios sociales y de salud (105)",53,9,4,,40
"Otras activ. serv.comun.soc y personales (106)",59,28,15,5,11
"Hogares privados con servicio doméstico (107)",8,8,,,
"Actividad economica no especificada (109)",44,43,1,,
"Mujeres (110)",1811,1368,93,52,298
"Agric., ganadería, caza y silvicultura (111)",338,310,18,4,6
"Industrias manufactureras (114)",112,101,5,5,1
"Construcción (116)",3,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",329,323,6,,
"Venta, mant.y rep. veh.autom y motoc. (118)",4,4,,,
"Comercio al por mayor (119)",9,9,,,
"Comercio al por menor (120)",316,310,6,,
"Hoteles y restaurantes (121)",97,96,,1,
"Trans., almac. y comunicaciones (122)",17,14,1,1,1
"Activid.inmobil., empres. y alquileres (124)",10,3,3,1,3
"Admin.pub. y defensa; p. segur soc.afil (125)",75,,,,75
"Enseñanza (126)",267,50,46,36,135
"Servicios sociales y de salud (127)",85,10,3,,72
"Otras activ. serv.comun.soc y personales (128)",60,51,7,,2
"Hogares privados con servicio doméstico (129)",251,251,,,
"Actividad economica no especificada (131)",167,157,3,4,3
,,,,,
"RURAL (132)",8926,8366,309,37,214
"Agric., ganadería, caza y silvicultura (133)",7314,7113,192,7,2
"Explotación de minas y canteras (135)",4,4,,,
"Industrias manufactureras (136)",179,170,9,,
"Suministro de electricidad, gas y agua (137)",3,1,,2,
"Construcción (138)",158,119,35,2,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",181,177,4,,
"Venta, mant.y rep. veh.autom y motoc. (140)",2,1,1,,
"Comercio al por mayor (141)",11,10,1,,
"Comercio al por menor (142)",168,166,2,,
"Hoteles y restaurantes (143)",34,34,,,
"Trans., almac. y comunicaciones (144)",19,17,1,,1
"Activid.inmobil., empres. y alquileres (146)",7,5,1,,1
"Admin.pub. y defensa; p. segur soc.afil (147)",40,,,,40
"Enseñanza (148)",284,123,45,21,95
"Servicios sociales y de salud (149)",39,10,,1,28
"Otras activ. serv.comun.soc y personales (150)",82,25,11,3,43
"Hogares privados con servicio doméstico (151)",241,241,,,
"Actividad economica no especificada (153)",341,327,11,1,2
"Hombres (154)",7676,7262,257,25,132
"Agric., ganadería, caza y silvicultura (155)",6982,6798,177,5,2
"Explotación de minas y canteras (157)",4,4,,,
"Industrias manufactureras (158)",90,83,7,,
"Suministro de electricidad, gas y agua (159)",3,1,,2,
"Construcción (160)",157,119,34,2,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",93,91,2,,
"Venta, mant.y rep. veh.autom y motoc. (162)",2,1,1,,
"Comercio al por mayor (163)",7,6,1,,
"Comercio al por menor (164)",84,84,,,
"Hoteles y restaurantes (165)",6,6,,,
"Trans., almac. y comunicaciones (166)",18,16,1,,1
"Activid.inmobil., empres. y alquileres (168)",5,4,,,1
"Admin.pub. y defensa; p. segur soc.afil (169)",25,,,,25
"Enseñanza (170)",149,50,29,13,57
"Servicios sociales y de salud (171)",16,7,,1,8
"Otras activ. serv.comun.soc y personales (172)",62,19,7,2,34
"Hogares privados con servicio doméstico (173)",11,11,,,
"Actividad economica no especificada (175)",55,53,,,2
"Mujeres (176)",1250,1104,52,12,82
"Agric., ganadería, caza y silvicultura (177)",332,315,15,2,
"Industrias manufactureras (180)",89,87,2,,
"Construcción (182)",1,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",88,86,2,,
"Comercio al por mayor (185)",4,4,,,
"Comercio al por menor (186)",84,82,2,,
"Hoteles y restaurantes (187)",28,28,,,
"Trans., almac. y comunicaciones (188)",1,1,,,
"Activid.inmobil., empres. y alquileres (190)",2,1,1,,
"Admin.pub. y defensa; p. segur soc.afil (191)",15,,,,15
"Enseñanza (192)",135,73,16,8,38
"Servicios sociales y de salud (193)",23,3,,,20
"Otras activ. serv.comun.soc y personales (194)",20,6,4,1,9
"Hogares privados con servicio doméstico (195)",230,230,,,
"Actividad economica no especificada (197)",286,274,11,1,
