"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",336,21,147,105,54,9
"Hogares privados con servicio doméstico (042)",27,2,18,4,1,2
"Actividad economica no especificada (044)",492,3,182,158,121,28
"Desocupado (045)",2378,24,1225,596,426,107
"Mujeres (046)",18387,416,6803,6143,3991,1034
"Agric., ganadería, caza y silvicultura (047)",8696,210,3148,2478,2114,746
"Pesca (048)",3,,1,1,,1
"Explotación de minas y canteras (049)",15,,9,4,2,
"Industrias manufactureras (050)",1355,108,576,381,232,58
"Suministro de electricidad, gas y agua (051)",5,,2,2,1,
"Construcción (052)",67,,26,30,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",2245,45,674,767,620,139
"Venta, mant.y rep. veh.autom.y motoc. (054)",22,,6,9,6,1
"Comercio al por mayor (055)",58,1,27,18,7,5
"Comercio al por menor (056)",2165,44,641,740,607,133
"Hoteles y restaurantes (057)",625,13,231,179,175,27
"Trans., almac. y comunicaciones (058)",70,1,45,20,4,
"Intermediación financiera (059)",29,,15,12,2,
"Activid.inmobil., empres. y alquileres (060)",196,,87,92,17,
"Admin.pub. y defensa; p. segur.soc afil (061)",642,,245,279,117,1
"Enseñanza (062)",1718,,357,1060,298,3
"Servicios sociales y de salud (063)",663,,207,336,120,
"Otras activ. serv.comun.soc y personales (064)",374,4,121,136,102,11
"Hogares privados con servicio doméstico (065)",412,17,267,71,50,7
"Actividad economica no especificada (067)",310,1,102,97,82,28
"Desocupado (068)",962,17,690,198,44,13
,,,,,,
"URBANA (069)",20218,205,6592,7935,4645,841
"Agric., ganadería, caza y silvicultura (070)",2212,10,532,690,642,338
"Pesca (071)",11,,4,3,4,
"Explotación de minas y canteras (072)",629,,250,267,110,2
"Industrias manufactureras (073)",943,7,387,314,183,52
"Suministro de electricidad, gas y agua (074)",52,,16,19,17,
"Construcción (075)",1194,5,443,452,272,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",3260,99,951,1089,889,232
"Venta, mant.y rep. veh.autom.y motoc. (077)",188,5,63,53,56,11
"Comercio al por mayor (078)",104,2,38,38,17,9
"Comercio al por menor (079)",2968,92,850,998,816,212
"Hoteles y restaurantes (080)",889,21,370,246,217,35
"Trans., almac. y comunicaciones (081)",937,10,377,319,212,19
"Intermediación financiera (082)",76,,34,33,9,
"Activid.inmobil., empres. y alquileres (083)",768,,277,350,132,9
"Admin.pub. y defensa; p. segur.soc afil (084)",1983,,584,871,512,16
"Enseñanza (085)",3236,,532,1966,728,10
"Servicios sociales y de salud (086)",869,,229,433,201,6
"Otras activ. serv.comun.soc y personales (087)",622,25,225,214,140,18
"Hogares privados con servicio doméstico (088)",341,14,205,67,47,8
"Actividad economica no especificada (090)",449,4,165,150,105,25
"Desocupado (091)",1747,10,1011,452,225,49
"Hombres (092)",12224,125,3953,4712,2904,530
"Agric., ganadería, caza y silvicultura (093)",1623,7,399,519,456,242
"Pesca (094)",10,,3,3,4,
"Explotación de minas y canteras (095)",617,,243,264,108,2
"Industrias manufactureras (096)",666,6,276,215,132,37
"Suministro de electricidad, gas y agua (097)",47,,14,17,16,
"Construcción (098)",1148,5,424,433,264,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",1294,58,399,410,323,104
"Venta, mant.y rep. veh.autom.y motoc. (100)",168,5,59,44,50,10
"Comercio al por mayor (101)",52,1,16,20,11,4
"Comercio al por menor (102)",1074,52,324,346,262,90
"Hoteles y restaurantes (103)",329,10,172,86,53,8
"Trans., almac. y comunicaciones (104)",869,9,333,300,208,19
"Intermediación financiera (105)",47,,19,21,7,
"Activid.inmobil., empres. y alquileres (106)",584,,197,262,116,9
"Admin.pub. y defensa; p. segur.soc afil (107)",1368,,356,599,397,16
"Enseñanza (108)",1620,,221,954,438,7
"Servicios sociales y de salud (109)",271,,53,128,84,6
"Otras activ. serv.comun.soc y personales (110)",270,21,117,83,41,8
"Hogares privados con servicio doméstico (111)",18,1,13,3,,1
"Actividad economica no especificada (113)",277,3,112,92,62,8
"Desocupado (114)",1166,5,602,323,195,41
"Mujeres (115)",7994,80,2639,3223,1741,311
"Agric., ganadería, caza y silvicultura (116)",589,3,133,171,186,96
"Pesca (117)",1,,1,,,
"Explotación de minas y canteras (118)",12,,7,3,2,
"Industrias manufactureras (119)",277,1,111,99,51,15
"Suministro de electricidad, gas y agua (120)",5,,2,2,1,
"Construcción (121)",46,,19,19,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1966,41,552,679,566,128
"Venta, mant.y rep. veh.autom.y motoc. (123)",20,,4,9,6,1
"Comercio al por mayor (124)",52,1,22,18,6,5
"Comercio al por menor (125)",1894,40,526,652,554,122
"Hoteles y restaurantes (126)",560,11,198,160,164,27
"Trans., almac. y comunicaciones (127)",68,1,44,19,4,
"Intermediación financiera (128)",29,,15,12,2,
"Activid.inmobil., empres. y alquileres (129)",184,,80,88,16,
"Admin.pub. y defensa; p. segur.soc afil (130)",615,,228,272,115,
"Enseñanza (131)",1616,,311,1012,290,3
"Servicios sociales y de salud (132)",598,,176,305,117,
"Otras activ. serv.comun.soc y personales (133)",352,4,108,131,99,10
"Hogares privados con servicio doméstico (134)",323,13,192,64,47,7
"Actividad economica no especificada (136)",172,1,53,58,43,17
"Desocupado (137)",581,5,409,129,30,8
,,,,,,
"RURAL (138)",28136,670,10288,8225,6587,2366
"Agric., ganadería, caza y silvicultura (139)",22206,504,7583,6471,5501,2147
"Pesca (140)",7,,2,3,1,1
"Explotación de minas y canteras (141)",309,,141,115,43,10
"Industrias manufactureras (142)",1251,116,545,322,214,54
"Suministro de electricidad, gas y agua (143)",12,,1,9,2,
"Construcción (144)",488,1,167,199,113,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",659,10,280,209,136,24
"Venta, mant.y rep. veh.autom.y motoc. (146)",21,,12,6,3,
"Comercio al por mayor (147)",34,,15,8,11,
"Comercio al por menor (148)",604,10,253,195,122,24
"Hoteles y restaurantes (149)",110,2,61,30,17,
"Trans., almac. y comunicaciones (150)",245,1,118,88,34,4
"Intermediación financiera (151)",1,,,,1,
"Activid.inmobil., empres. y alquileres (152)",43,,18,16,7,2
"Admin.pub. y defensa; p. segur.soc afil (153)",222,,75,71,65,11
"Enseñanza (154)",341,,100,160,81,
"Servicios sociales y de salud (155)",110,,51,50,9,
"Otras activ. serv.comun.soc y personales (156)",88,,43,27,16,2
"Hogares privados con servicio doméstico (157)",98,5,80,8,4,1
"Actividad economica no especificada (159)",353,,119,105,98,31
"Desocupado (160)",1593,31,904,342,245,71
"Hombres (161)",17743,334,6124,5305,4337,1643
"Agric., ganadería, caza y silvicultura (162)",14099,297,4568,4164,3573,1497
"Pesca (163)",5,,2,2,1,
"Explotación de minas y canteras (164)",306,,139,114,43,10
"Industrias manufactureras (165)",173,9,80,40,33,11
"Suministro de electricidad, gas y agua (166)",12,,1,9,2,
"Construcción (167)",467,1,160,188,110,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",380,6,158,121,82,13
"Venta, mant.y rep. veh.autom.y motoc. (169)",19,,10,6,3,
"Comercio al por mayor (170)",28,,10,8,10,
"Comercio al por menor (171)",333,6,138,107,69,13
"Hoteles y restaurantes (172)",45,,28,11,6,
"Trans., almac. y comunicaciones (173)",243,1,117,87,34,4
"Intermediación financiera (174)",1,,,,1,
"Activid.inmobil., empres. y alquileres (175)",31,,11,12,6,2
"Admin.pub. y defensa; p. segur.soc afil (176)",195,,58,64,63,10
"Enseñanza (177)",239,,54,112,73,
"Servicios sociales y de salud (178)",45,,20,19,6,
"Otras activ. serv.comun.soc y personales (179)",66,,30,22,13,1
"Hogares privados con servicio doméstico (180)",9,1,5,1,1,1
"Actividad economica no especificada (182)",215,,70,66,59,20
"Desocupado (183)",1212,19,623,273,231,66
"Mujeres (184)",10393,336,4164,2920,2250,723
"Agric., ganadería, caza y silvicultura (185)",8107,207,3015,2307,1928,650
"Pesca (186)",2,,,1,,1
"Explotación de minas y canteras (187)",3,,2,1,,
"Industrias manufactureras (188)",1078,107,465,282,181,43
"Construcción (190)",21,,7,11,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",279,4,122,88,54,11
"Venta, mant.y rep. veh.autom.y motoc. (192)",2,,2,,,
"Comercio al por mayor (193)",6,,5,,1,
"Comercio al por menor (194)",271,4,115,88,53,11
"Hoteles y restaurantes (195)",65,2,33,19,11,
"Trans., almac. y comunicaciones (196)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (198)",12,,7,4,1,
"Admin.pub. y defensa; p. segur.soc afil (199)",27,,17,7,2,1
"Enseñanza (200)",102,,46,48,8,
"Servicios sociales y de salud (201)",65,,31,31,3,
"Otras activ. serv.comun.soc y personales (202)",22,,13,5,3,1
"Hogares privados con servicio doméstico (203)",89,4,75,7,3,
"Actividad economica no especificada (205)",138,,49,39,39,11
"Desocupado (206)",381,12,281,69,14,5
