"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
"De 45 a 49 años (038)",7,29,27,,93.1,,
"De 50 y más años (039)",5,22,16,,72.7,,
"No PEA (040)",16711,51828,45768,821,88.3,1.6,
"De 12 a 14 años (041)",2280,6,5,1,83.3,16.7,
"De 15 a 19 años (042)",2456,359,355,102,98.9,28.4,
"De 20 a 24 años (043)",1606,1537,1509,194,98.2,12.6,
"De 25 a 29 años (044)",1486,2837,2752,172,97,6.1,
"De 30 a 34 años (045)",1380,4108,3914,163,95.3,4,
"De 35 a 39 años (046)",1329,5209,4904,122,94.1,2.3,
"De 40 a 44 años (047)",1132,5672,5178,53,91.3,0.9,
"De 45 a 49 años (048)",998,5675,5110,14,90,0.2,
"De 50 y más años (049)",4044,26425,22041,,83.4,,
,,,,,,,
"URBANA (060)",7101,19195,17263,312,89.9,1.6,
"De 12 a 14 años (061)",768,2,2,1,100,50,
"De 15 a 19 años (062)",1051,124,122,34,98.4,27.4,
"De 20 a 24 años (063)",729,445,440,61,98.9,13.7,
"De 25 a 29 años (064)",628,906,896,74,98.9,8.2,
"De 30 a 34 años (065)",624,1421,1368,64,96.3,4.5,
"De 35 a 39 años (066)",619,1929,1859,52,96.4,2.7,
"De 40 a 44 años (067)",528,2205,2059,22,93.4,1,
"De 45 a 49 años (068)",472,2183,2028,4,92.9,0.2,
"De 50 y más años (069)",1682,9980,8489,,85.1,,
"PEA (070)",1511,3760,3452,46,91.8,1.2,
"De 12 a 14 años (071)",17,,,,,,
"De 15 a 19 años (072)",109,14,14,3,100,21.4,
"De 20 a 24 años (073)",191,91,89,8,97.8,8.8,
"De 25 a 29 años (074)",176,171,169,11,98.8,6.4,
"De 30 a 34 años (075)",200,320,308,10,96.3,3.1,
"De 35 a 39 años (076)",207,512,496,11,96.9,2.1,
"De 40 a 44 años (077)",175,590,562,2,95.3,0.3,
"De 45 a 49 años (078)",155,555,512,1,92.3,0.2,
"De 50 y más años (079)",281,1507,1302,,86.4,,
"Ocupada (080)",1396,3639,3341,46,91.8,1.3,
"De 12 a 14 años (081)",13,,,,,,
"De 15 a 19 años (082)",84,13,13,3,100,23.1,
"De 20 a 24 años (083)",164,81,79,8,97.5,9.9,
"De 25 a 29 años (084)",159,162,160,11,98.8,6.8,
"De 30 a 34 años (085)",183,305,293,10,96.1,3.3,
"De 35 a 39 años (086)",196,481,467,11,97.1,2.3,
"De 40 a 44 años (087)",170,581,553,2,95.2,0.3,
"De 45 a 49 años (088)",150,531,490,1,92.3,0.2,
"De 50 y más años (089)",277,1485,1286,,86.6,,
"Desocupada (090)",115,121,111,,91.7,,
"De 12 a 14 años (091)",4,,,,,,
"De 15 a 19 años (092)",25,1,1,,100,,
"De 20 a 24 años (093)",27,10,10,,100,,
"De 25 a 29 años (094)",17,9,9,,100,,
"De 30 a 34 años (095)",17,15,15,,100,,
"De 35 a 39 años (096)",11,31,29,,93.5,,
"De 40 a 44 años (097)",5,9,9,,100,,
"De 45 a 49 años (098)",5,24,22,,91.7,,
"De 50 y más años (099)",4,22,16,,72.7,,
"No PEA (100)",5590,15435,13811,266,89.5,1.7,
"De 12 a 14 años (101)",751,2,2,1,100,50,
"De 15 a 19 años (102)",942,110,108,31,98.2,28.2,
"De 20 a 24 años (103)",538,354,351,53,99.2,15,
"De 25 a 29 años (104)",452,735,727,63,98.9,8.6,
"De 30 a 34 años (105)",424,1101,1060,54,96.3,4.9,
"De 35 a 39 años (106)",412,1417,1363,41,96.2,2.9,
"De 40 a 44 años (107)",353,1615,1497,20,92.7,1.2,
"De 45 a 49 años (108)",317,1628,1516,3,93.1,0.2,
"De 50 y más años (109)",1401,8473,7187,,84.8,,
,,,,,,,
"RURAL (120)",12728,40995,36063,635,88,1.5,
"De 12 a 14 años (121)",1591,5,4,,80,,
"De 15 a 19 años (122)",1732,284,281,82,98.9,28.9,
"De 20 a 24 años (123)",1324,1358,1325,168,97.6,12.4,
"De 25 a 29 años (124)",1229,2384,2299,121,96.4,5.1,
"De 30 a 34 años (125)",1137,3445,3275,122,95.1,3.5,
"De 35 a 39 años (126)",1063,4312,4034,92,93.6,2.1,
"De 40 a 44 años (127)",909,4701,4263,37,90.7,0.8,
"De 45 a 49 años (128)",779,4541,4055,13,89.3,0.3,
"De 50 y más años (129)",2964,19965,16527,,82.8,,
"PEA (130)",1607,4602,4106,80,89.2,1.7,
"De 12 a 14 años (131)",62,1,1,,100,,
"De 15 a 19 años (132)",218,35,34,11,97.1,31.4,
"De 20 a 24 años (133)",256,175,167,27,95.4,15.4,
"De 25 a 29 años (134)",195,282,274,12,97.2,4.3,
"De 30 a 34 años (135)",181,438,421,13,96.1,3,
"De 35 a 39 años (136)",146,520,493,11,94.8,2.1,
"De 40 a 44 años (137)",130,644,582,4,90.4,0.6,
"De 45 a 49 años (138)",98,494,461,2,93.3,0.4,
"De 50 y más años (139)",321,2013,1673,,83.1,,
"Ocupada (140)",1508,4567,4072,77,89.2,1.7,
"De 12 a 14 años (141)",49,1,1,,100,,
"De 15 a 19 años (142)",190,31,30,11,96.8,35.5,
"De 20 a 24 años (143)",225,168,160,25,95.2,14.9,
"De 25 a 29 años (144)",180,279,271,12,97.1,4.3,
"De 30 a 34 años (145)",177,438,421,13,96.1,3,
"De 35 a 39 años (146)",143,513,486,10,94.7,1.9,
"De 40 a 44 años (147)",128,635,574,4,90.4,0.6,
"De 45 a 49 años (148)",96,489,456,2,93.3,0.4,
"De 50 y más años (149)",320,2013,1673,,83.1,,
"Desocupada (150)",99,35,34,3,97.1,8.6,
"De 12 a 14 años (151)",13,,,,,,
"De 15 a 19 años (152)",28,4,4,,100,,
"De 20 a 24 años (153)",31,7,7,2,100,28.6,
"De 25 a 29 años (154)",15,3,3,,100,,
"De 30 a 34 años (155)",4,,,,,,
"De 35 a 39 años (156)",3,7,7,1,100,14.3,
"De 40 a 44 años (157)",2,9,8,,88.9,,
"De 45 a 49 años (158)",2,5,5,,100,,
"De 50 y más años (159)",1,,,,,,
"No PEA (160)",11121,36393,31957,555,87.8,1.5,
"De 12 a 14 años (161)",1529,4,3,,75,,
"De 15 a 19 años (162)",1514,249,247,71,99.2,28.5,
"De 20 a 24 años (163)",1068,1183,1158,141,97.9,11.9,
"De 25 a 29 años (164)",1034,2102,2025,109,96.3,5.2,
"De 30 a 34 años (165)",956,3007,2854,109,94.9,3.6,
"De 35 a 39 años (166)",917,3792,3541,81,93.4,2.1,
"De 40 a 44 años (167)",779,4057,3681,33,90.7,0.8,
"De 45 a 49 años (168)",681,4047,3594,11,88.8,0.3,
"De 50 y más años (169)",2643,17952,14854,,82.7,,
