"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 30 a 34 años (045)",4327,,,,,658,2672,997
"De 35 a 39 años (046)",3739,,,,24,1211,1838,666
"De 40 a 44 años (047)",2884,,,,193,1213,902,576
"De 45 a 49 años (048)",2398,,,14,483,1095,359,447
"De 50 y más años (049)",7988,205,585,1554,2318,1172,82,2072
,,,,,,,,
"URBANA (060)",55220,166,619,1995,5566,11826,19285,15763
"De 12 a 14 años (061)",66,,,,,,1,65
"De 15 a 19 años (062)",869,,,,,,444,425
"De 20 a 24 años (063)",5847,,,,,7,2935,2905
"De 25 a 29 años (064)",8268,,,,,363,4796,3109
"De 30 a 34 años (065)",8638,,,,1,1411,4885,2341
"De 35 a 39 años (066)",7975,,,,79,2659,3620,1617
"De 40 a 44 años (067)",6515,,,,500,2854,1817,1344
"De 45 a 49 años (068)",5239,,,29,1138,2398,672,1002
"De 50 y más años (069)",11803,166,619,1966,3848,2134,115,2955
"PEA (070)",27707,18,142,728,2918,6759,9175,7967
"De 12 a 14 años (071)",7,,,,,,,7
"De 15 a 19 años (072)",282,,,,,,141,141
"De 20 a 24 años (073)",2457,,,,,4,1154,1299
"De 25 a 29 años (074)",4051,,,,,210,2153,1688
"De 30 a 34 años (075)",4560,,,,1,786,2391,1382
"De 35 a 39 años (076)",4443,,,,55,1502,1915,971
"De 40 a 44 años (077)",3843,,,,312,1722,1018,791
"De 45 a 49 años (078)",3038,,,16,680,1405,357,580
"De 50 y más años (079)",5026,18,142,712,1870,1130,46,1108
"Ocupada (080)",26353,18,134,713,2854,6532,8692,7410
"De 12 a 14 años (081)",6,,,,,,,6
"De 15 a 19 años (082)",252,,,,,,128,124
"De 20 a 24 años (083)",2236,,,,,3,1060,1173
"De 25 a 29 años (084)",3710,,,,,196,2022,1492
"De 30 a 34 años (085)",4298,,,,1,749,2248,1300
"De 35 a 39 años (086)",4254,,,,51,1447,1846,910
"De 40 a 44 años (087)",3734,,,,301,1676,992,765
"De 45 a 49 años (088)",2943,,,16,665,1352,352,558
"De 50 y más años (089)",4920,18,134,697,1836,1109,44,1082
"Desocupada (090)",1354,,8,15,64,227,483,557
"De 12 a 14 años (091)",1,,,,,,,1
"De 15 a 19 años (092)",30,,,,,,13,17
"De 20 a 24 años (093)",221,,,,,1,94,126
"De 25 a 29 años (094)",341,,,,,14,131,196
"De 30 a 34 años (095)",262,,,,,37,143,82
"De 35 a 39 años (096)",189,,,,4,55,69,61
"De 40 a 44 años (097)",109,,,,11,46,26,26
"De 45 a 49 años (098)",95,,,,15,53,5,22
"De 50 y más años (099)",106,,8,15,34,21,2,26
"No PEA (100)",27513,148,477,1267,2648,5067,10110,7796
"De 12 a 14 años (101)",59,,,,,,1,58
"De 15 a 19 años (102)",587,,,,,,303,284
"De 20 a 24 años (103)",3390,,,,,3,1781,1606
"De 25 a 29 años (104)",4217,,,,,153,2643,1421
"De 30 a 34 años (105)",4078,,,,,625,2494,959
"De 35 a 39 años (106)",3532,,,,24,1157,1705,646
"De 40 a 44 años (107)",2672,,,,188,1132,799,553
"De 45 a 49 años (108)",2201,,,13,458,993,315,422
"De 50 y más años (109)",6777,148,477,1254,1978,1004,69,1847
,,,,,,,,
"RURAL (120)",5498,77,174,549,813,1145,1774,966
"De 12 a 14 años (121)",1,,,,,,,1
"De 15 a 19 años (122)",87,,,,,,65,22
"De 20 a 24 años (123)",445,,,,,1,299,145
"De 25 a 29 años (124)",502,,,,,17,365,120
"De 30 a 34 años (125)",526,,,,,78,365,83
"De 35 a 39 años (126)",531,,,,1,160,309,61
"De 40 a 44 años (127)",515,,,,24,193,229,69
"De 45 a 49 años (128)",499,,,4,59,269,108,59
"De 50 y más años (129)",2392,77,174,545,729,427,34,406
"PEA (130)",2879,20,66,248,443,699,900,503
"De 15 a 19 años (132)",36,,,,,,26,10
"De 20 a 24 años (133)",213,,,,,1,131,81
"De 25 a 29 años (134)",243,,,,,9,169,65
"De 30 a 34 años (135)",277,,,,,45,187,45
"De 35 a 39 años (136)",324,,,,1,106,176,41
"De 40 a 44 años (137)",303,,,,19,112,126,46
"De 45 a 49 años (138)",302,,,3,34,167,64,34
"De 50 y más años (139)",1181,20,66,245,389,259,21,181
"Ocupada (140)",2847,20,65,248,441,696,887,490
"De 15 a 19 años (142)",36,,,,,,26,10
"De 20 a 24 años (143)",202,,,,,1,126,75
"De 25 a 29 años (144)",236,,,,,8,166,62
"De 30 a 34 años (145)",273,,,,,45,184,44
"De 35 a 39 años (146)",320,,,,1,105,175,39
"De 40 a 44 años (147)",302,,,,19,111,126,46
"De 45 a 49 años (148)",299,,,3,33,167,63,33
"De 50 y más años (149)",1179,20,65,245,388,259,21,181
"Desocupada (150)",32,,1,,2,3,13,13
"De 20 a 24 años (153)",11,,,,,,5,6
"De 25 a 29 años (154)",7,,,,,1,3,3
"De 30 a 34 años (155)",4,,,,,,3,1
"De 35 a 39 años (156)",4,,,,,1,1,2
"De 40 a 44 años (157)",1,,,,,1,,
"De 45 a 49 años (158)",3,,,,1,,1,1
"De 50 y más años (159)",2,,1,,1,,,
"No PEA (160)",2619,57,108,301,370,446,874,463
"De 12 a 14 años (161)",1,,,,,,,1
"De 15 a 19 años (162)",51,,,,,,39,12
"De 20 a 24 años (163)",232,,,,,,168,64
"De 25 a 29 años (164)",259,,,,,8,196,55
"De 30 a 34 años (165)",249,,,,,33,178,38
"De 35 a 39 años (166)",207,,,,,54,133,20
"De 40 a 44 años (167)",212,,,,5,81,103,23
"De 45 a 49 años (168)",197,,,1,25,102,44,25
"De 50 y más años (169)",1211,57,108,300,340,168,13,225
