"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Sin nivel (061)",607,572,25,5,5
"Educación inicial (062)",22,21,,1,
"Primaria (063)",1505,1392,72,16,25
"Secundaria (064)",1448,1202,128,54,64
"Superior no univ. incompleta (065)",289,214,36,20,19
"Superior no univ. completa (066)",631,345,75,78,133
"Superior univ. incompleta (067)",199,129,19,20,31
"Superior univ. completa (068)",549,250,68,89,142
"De 06 a 14 años (070)",74,67,7,,
"Sin nivel (071)",2,2,,,
"Educación inicial (072)",1,1,,,
"Primaria (073)",48,43,5,,
"Secundaria (074)",23,21,2,,
"De 15 a 29 años (080)",1659,1302,165,78,114
"Sin nivel (081)",53,49,2,1,1
"Educación inicial (082)",14,13,,1,
"Primaria (083)",330,301,21,6,2
"Secundaria (084)",696,578,70,28,20
"Superior no univ. incompleta (085)",156,121,19,9,7
"Superior no univ. completa (086)",181,107,28,12,34
"Superior univ. incompleta (087)",107,78,11,5,13
"Superior univ. completa (088)",122,55,14,16,37
"De 30 a 44 años (090)",1814,1343,149,131,191
"Sin nivel (091)",171,158,9,3,1
"Educación inicial (092)",7,7,,,
"Primaria (093)",468,436,21,3,8
"Secundaria (094)",442,367,35,19,21
"Superior no univ. incompleta (095)",88,64,11,5,8
"Superior no univ. completa (096)",320,173,31,42,74
"Superior univ. incompleta (097)",62,33,6,11,12
"Superior univ. completa (098)",256,105,36,48,67
"De 45 a 64 años (100)",1294,1030,86,70,108
"Sin nivel (101)",246,235,8,1,2
"Primaria (103)",486,445,21,6,14
"Secundaria (104)",238,189,19,7,23
"Superior no univ. incompleta (105)",37,22,6,5,4
"Superior no univ. completa (106)",117,55,15,23,24
"Superior univ. incompleta (107)",25,16,1,3,5
"Superior univ. completa (108)",145,68,16,25,36
"De 65 y más años (110)",409,383,16,4,6
"Sin nivel (111)",135,128,6,,1
"Primaria (113)",173,167,4,1,1
"Secundaria (114)",49,47,2,,
"Superior no univ. incompleta (115)",8,7,,1,
"Superior no univ. completa (116)",13,10,1,1,1
"Superior univ. incompleta (117)",5,2,1,1,1
"Superior univ. completa (118)",26,22,2,,2
,,,,,
"RURAL (120)",7639,6846,410,158,225
"Sin nivel (121)",1601,1535,45,,21
"Educación inicial (122)",27,26,,,1
"Primaria (123)",3662,3399,148,51,64
"Secundaria (124)",1825,1579,134,55,57
"Superior no univ. incompleta (125)",127,97,15,7,8
"Superior no univ. completa (126)",230,125,41,24,40
"Superior univ. incompleta (127)",63,37,7,9,10
"Superior univ. completa (128)",104,48,20,12,24
"De 06 a 14 años (130)",115,113,1,1,
"Sin nivel (131)",9,9,,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",82,80,1,1,
"Secundaria (134)",22,22,,,
"De 15 a 29 años (140)",2579,2246,175,74,84
"Sin nivel (141)",175,165,6,,4
"Educación inicial (142)",16,15,,,1
"Primaria (143)",1062,980,46,17,19
"Secundaria (144)",1082,930,93,34,25
"Superior no univ. incompleta (145)",69,53,7,4,5
"Superior no univ. completa (146)",109,67,13,12,17
"Superior univ. incompleta (147)",40,24,6,5,5
"Superior univ. completa (148)",26,12,4,2,8
"De 30 a 44 años (150)",2465,2173,144,61,87
"Sin nivel (151)",433,410,16,,7
"Educación inicial (152)",9,9,,,
"Primaria (153)",1254,1155,61,18,20
"Secundaria (154)",549,481,29,17,22
"Superior no univ. incompleta (155)",47,37,5,3,2
"Superior no univ. completa (156)",97,48,19,11,19
"Superior univ. incompleta (157)",19,10,1,3,5
"Superior univ. completa (158)",57,23,13,9,12
"De 45 a 64 años (160)",1834,1688,74,21,51
"Sin nivel (161)",624,602,14,,8
"Primaria (163)",994,922,34,14,24
"Secundaria (164)",162,136,12,4,10
"Superior no univ. incompleta (165)",11,7,3,,1
"Superior no univ. completa (166)",23,9,9,1,4
"Superior univ. incompleta (167)",4,3,,1,
"Superior univ. completa (168)",16,9,2,1,4
"De 65 y más años (170)",646,626,16,1,3
"Sin nivel (171)",360,349,9,,2
"Primaria (173)",270,262,6,1,1
"Secundaria (174)",10,10,,,
"Superior no univ. completa (176)",1,1,,,
"Superior univ. completa (178)",5,4,1,,
