"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"Superior univ. incompleta (057)",25,20,,2,3
"Superior univ. completa (058)",118,68,14,14,22
,,,,,
"URBANA (060)",81535,61816,6819,5920,6980
"Sin nivel (061)",2126,2029,68,16,13
"Educación inicial (062)",53,47,4,1,1
"Primaria (063)",15940,14830,664,233,213
"Secundaria (064)",32866,27850,2430,1171,1415
"Superior no univ. incompleta (065)",5099,3820,522,339,418
"Superior no univ. completa (066)",7222,3836,950,1235,1201
"Superior univ. incompleta (067)",5969,4283,633,408,645
"Superior univ. completa (068)",12260,5121,1548,2517,3074
"De 06 a 14 años (070)",1103,982,90,25,6
"Sin nivel (071)",6,6,,,
"Educación inicial (072)",7,6,,1,
"Primaria (073)",505,460,33,12,
"Secundaria (074)",585,510,57,12,6
"De 15 a 29 años (080)",28155,21574,2907,1774,1900
"Sin nivel (081)",93,87,6,,
"Educación inicial (082)",25,23,2,,
"Primaria (083)",1928,1727,138,34,29
"Secundaria (084)",14649,12179,1325,583,562
"Superior no univ. incompleta (085)",2762,2108,334,159,161
"Superior no univ. completa (086)",2629,1699,325,290,315
"Superior univ. incompleta (087)",3031,2247,358,185,241
"Superior univ. completa (088)",3038,1504,419,523,592
"De 30 a 44 años (090)",31792,23179,2564,2828,3221
"Sin nivel (091)",332,312,10,4,6
"Educación inicial (092)",21,18,2,,1
"Primaria (093)",5702,5306,211,91,94
"Secundaria (094)",11931,10305,709,384,533
"Superior no univ. incompleta (095)",1811,1359,145,137,170
"Superior no univ. completa (096)",3551,1762,491,683,615
"Superior univ. incompleta (097)",2109,1471,205,151,282
"Superior univ. completa (098)",6335,2646,791,1378,1520
"De 45 a 64 años (100)",18226,14014,1174,1244,1794
"Sin nivel (101)",1095,1043,38,9,5
"Primaria (103)",6655,6246,248,83,78
"Secundaria (104)",5389,4589,320,180,300
"Superior no univ. incompleta (105)",506,337,42,41,86
"Superior no univ. completa (106)",1004,348,132,259,265
"Superior univ. incompleta (107)",804,545,70,70,119
"Superior univ. completa (108)",2773,906,324,602,941
"De 65 y más años (110)",2259,2067,84,49,59
"Sin nivel (111)",600,581,14,3,2
"Primaria (113)",1150,1091,34,13,12
"Secundaria (114)",312,267,19,12,14
"Superior no univ. incompleta (115)",20,16,1,2,1
"Superior no univ. completa (116)",38,27,2,3,6
"Superior univ. incompleta (117)",25,20,,2,3
"Superior univ. completa (118)",114,65,14,14,21
,,,,,
"RURAL (120)",8475,7885,296,107,187
"Sin nivel (121)",1330,1315,15,,
"Educación inicial (122)",10,10,,,
"Primaria (123)",3907,3770,99,17,21
"Secundaria (124)",2756,2476,136,57,87
"Superior no univ. incompleta (125)",108,92,8,2,6
"Superior no univ. completa (126)",120,95,6,12,7
"Superior univ. incompleta (127)",95,69,14,3,9
"Superior univ. completa (128)",149,58,18,16,57
"De 06 a 14 años (130)",167,159,8,,
"Sin nivel (131)",6,5,1,,
"Educación inicial (132)",5,5,,,
"Primaria (133)",111,106,5,,
"Secundaria (134)",45,43,2,,
"De 15 a 29 años (140)",2378,2124,127,53,74
"Sin nivel (141)",42,42,,,
"Educación inicial (142)",2,2,,,
"Primaria (143)",690,651,29,4,6
"Secundaria (144)",1443,1287,79,38,39
"Superior no univ. incompleta (145)",57,49,4,2,2
"Superior no univ. completa (146)",53,46,2,4,1
"Superior univ. incompleta (147)",47,32,8,2,5
"Superior univ. completa (148)",44,15,5,3,21
"De 30 a 44 años (150)",2313,2127,77,34,75
"Sin nivel (151)",101,101,,,
"Educación inicial (152)",3,3,,,
"Primaria (153)",1186,1147,28,4,7
"Secundaria (154)",845,765,32,17,31
"Superior no univ. incompleta (155)",37,32,3,,2
"Superior no univ. completa (156)",44,36,2,4,2
"Superior univ. incompleta (157)",28,19,4,1,4
"Superior univ. completa (158)",69,24,8,8,29
"De 45 a 64 años (160)",2458,2327,77,19,35
"Sin nivel (161)",580,569,11,,
"Primaria (163)",1417,1369,34,8,6
"Secundaria (164)",374,333,22,2,17
"Superior no univ. incompleta (165)",12,9,1,,2
"Superior no univ. completa (166)",23,13,2,4,4
"Superior univ. incompleta (167)",20,18,2,,
"Superior univ. completa (168)",32,16,5,5,6
"De 65 y más años (170)",1159,1148,7,1,3
"Sin nivel (171)",601,598,3,,
"Primaria (173)",503,497,3,1,2
"Secundaria (174)",49,48,1,,
"Superior no univ. incompleta (175)",2,2,,,
"Superior univ. completa (178)",4,3,,,1
