"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 50 y más años (149)",552,424,247,65,56,28,28,,,,128,373
,,,,,,,,,,,,
"RURAL (160)",23887,23126,6868,2240,2328,2042,3245,2494,1878,2031,761,82845
"De 12 a 14 años (161)",2690,2677,2651,17,9,,,,,,13,35
"De 15 a 19 años (162)",3221,3159,2773,322,53,10,1,,,,62,462
"De 20 a 24 años (163)",2119,1888,591,730,401,133,31,2,,,231,2071
"De 25 a 29 años (164)",1995,1831,207,415,586,360,228,34,1,,164,3853
"De 30 a 34 años (165)",2029,1949,109,219,461,461,531,139,23,6,80,5976
"De 35 a 39 años (166)",1983,1931,94,137,283,388,629,299,87,14,52,7421
"De 40 a 44 años (167)",1829,1787,89,79,161,226,538,427,187,80,42,8669
"De 45 a 49 años (168)",1592,1561,52,72,105,140,379,388,261,164,31,8907
"De 50 y más años (169)",6429,6343,302,249,269,324,908,1205,1319,1767,86,45451
"Conviviente (170)",7151,7011,352,1191,1260,1032,1352,841,534,449,140,27832
"De 12 a 14 años (171)",25,12,7,2,3,,,,,,13,8
"De 15 a 19 años (172)",449,397,122,234,35,6,,,,,52,322
"De 20 a 24 años (173)",1004,969,81,474,293,94,25,2,,,35,1457
"De 25 a 29 años (174)",1084,1061,35,236,378,251,138,23,,,23,2473
"De 30 a 34 años (175)",1078,1074,17,102,273,283,308,79,11,1,4,3431
"De 35 a 39 años (176)",890,887,14,45,127,187,324,142,41,7,3,3617
"De 40 a 44 años (177)",709,708,16,24,52,96,231,175,88,26,1,3592
"De 45 a 49 años (178)",572,569,11,19,31,50,136,151,105,66,3,3425
"De 50 y más años (179)",1340,1334,49,55,68,65,190,269,289,349,6,9507
"Separado(a) (180)",852,833,17,252,163,106,120,88,46,41,19,2838
"De 15 a 19 años (182)",40,35,2,29,4,,,,,,5,37
"De 20 a 24 años (183)",99,93,2,67,17,7,,,,,6,122
"De 25 a 29 años (184)",93,92,1,42,37,9,3,,,,1,155
"De 30 a 34 años (185)",91,88,,28,29,20,8,3,,,3,201
"De 35 a 39 años (186)",79,77,3,27,17,17,10,3,,,2,173
"De 40 a 44 años (187)",91,91,1,12,21,14,23,14,4,2,,343
"De 45 a 49 años (188)",84,84,2,16,14,12,20,12,7,1,,314
"De 50 y más años (189)",275,273,6,31,24,27,56,56,35,38,2,1493
"Casado(a) (190)",6661,6621,147,377,650,701,1447,1219,954,1126,40,39173
"De 12 a 14 años (191)",1,1,,,1,,,,,,,2
"De 15 a 19 años (192)",30,26,6,14,4,1,1,,,,4,29
"De 20 a 24 años (193)",238,228,15,105,76,27,5,,,,10,359
"De 25 a 29 años (194)",410,408,18,78,136,84,82,10,,,2,1012
"De 30 a 34 años (195)",617,610,12,47,136,136,206,57,11,5,7,2145
"De 35 a 39 años (196)",779,777,8,26,106,168,271,145,46,7,2,3315
"De 40 a 44 años (197)",819,815,15,20,63,95,259,223,91,49,4,4334
"De 45 a 49 años (198)",781,777,6,15,48,65,204,207,138,94,4,4761
"De 50 y más años (199)",2986,2979,67,72,80,125,419,577,668,971,7,23216
"Viudo(a) (200)",1602,1588,27,50,70,98,250,341,341,411,14,11537
"De 20 a 24 años (203)",3,3,,2,1,,,,,,,4
"De 25 a 29 años (204)",9,9,1,2,1,1,2,1,1,,,31
"De 30 a 34 años (205)",11,9,,1,3,3,1,,1,,2,29
"De 35 a 39 años (206)",33,33,,1,5,3,16,8,,,,144
"De 40 a 44 años (207)",43,42,,1,2,5,12,15,4,3,1,232
"De 45 a 49 años (208)",52,52,,3,2,6,9,18,11,3,,307
"De 50 y más años (209)",1451,1440,26,40,56,80,210,299,324,405,11,10790
"Divorciado(a) (210)",24,23,2,2,3,1,3,5,3,4,1,129
"De 15 a 19 años (212)",1,,,,,,,,,,1,
"De 30 a 34 años (215)",2,2,,,1,1,,,,,,5
"De 35 a 39 años (216)",1,1,,,,,,1,,,,7
"De 40 a 44 años (217)",1,1,,,1,,,,,,,2
"De 50 y más años (219)",19,19,2,2,1,,3,4,3,4,,115
"Soltero(a) (220)",7597,7050,6323,368,182,104,73,,,,547,1336
"De 12 a 14 años (221)",2664,2664,2644,15,5,,,,,,,25
"De 15 a 19 años (222)",2701,2701,2643,45,10,3,,,,,,74
"De 20 a 24 años (223)",775,595,493,82,14,5,1,,,,180,129
"De 25 a 29 años (224)",399,261,152,57,34,15,3,,,,138,182
"De 30 a 34 años (225)",230,166,80,41,19,18,8,,,,64,165
"De 35 a 39 años (226)",201,156,69,38,28,13,8,,,,45,165
"De 40 a 44 años (227)",166,130,57,22,22,16,13,,,,36,166
"De 45 a 49 años (228)",103,79,33,19,10,7,10,,,,24,100
"De 50 y más años (229)",358,298,152,49,40,27,30,,,,60,330
