"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
"De 20 a 24 años (023)",198,178,3,103,47,19,5,1,,,20,281
"De 25 a 29 años (024)",243,219,2,91,69,31,24,1,1,,24,440
"De 30 a 34 años (025)",217,209,,61,46,46,44,6,5,1,8,573
"De 35 a 39 años (026)",235,230,,42,47,44,62,29,6,,5,774
"De 40 a 44 años (027)",162,162,,13,18,38,45,31,10,7,,713
"De 45 a 49 años (028)",150,148,,14,22,26,40,25,14,7,2,664
"De 50 y más años (029)",350,345,5,23,30,40,80,82,64,21,5,1868
"Desocupada (030)",141,105,,44,20,11,24,5,1,,36,266
"De 15 a 19 años (032)",9,7,,7,,,,,,,2,7
"De 20 a 24 años (033)",34,23,,15,4,4,,,,,11,35
"De 25 a 29 años (034)",30,15,,8,6,1,,,,,15,23
"De 30 a 34 años (035)",23,19,,8,6,1,4,,,,4,40
"De 35 a 39 años (036)",17,15,,2,2,3,7,1,,,2,53
"De 40 a 44 años (037)",8,6,,1,1,1,2,1,,,2,22
"De 45 a 49 años (038)",6,6,,,,,6,,,,,29
"De 50 y más años (039)",14,14,,3,1,1,5,3,1,,,57
"No PEA (040)",11701,11293,52,2216,1959,1572,2436,1712,947,399,408,44949
"De 12 a 14 años (041)",20,11,,11,,,,,,,9,11
"De 15 a 19 años (042)",659,621,10,510,91,9,1,,,,38,723
"De 20 a 24 años (043)",1735,1613,7,813,551,184,56,2,,,122,2714
"De 25 a 29 años (044)",1752,1664,8,359,530,422,302,42,1,,88,4236
"De 30 a 34 años (045)",1453,1411,6,151,290,305,448,183,26,2,42,4997
"De 35 a 39 años (046)",1326,1298,1,89,150,219,446,272,104,17,28,5832
"De 40 a 44 años (047)",1053,1035,1,62,83,99,306,271,158,55,18,5589
"De 45 a 49 años (048)",858,844,1,47,53,70,192,217,179,85,14,5059
"De 50 y más años (049)",2845,2796,18,174,211,264,685,725,479,240,49,15788
,,,,,,,,,,,,
"URBANA (060)",2087,2026,4,482,411,328,395,250,114,42,61,7045
"De 12 a 14 años (061)",2,2,,2,,,,,,,,2
"De 15 a 19 años (062)",77,70,,64,6,,,,,,7,76
"De 20 a 24 años (063)",256,233,,152,60,16,5,,,,23,341
"De 25 a 29 años (064)",295,281,1,108,106,39,22,4,1,,14,561
"De 30 a 34 años (065)",312,305,,65,86,84,53,16,1,,7,824
"De 35 a 39 años (066)",286,285,,38,65,62,84,30,4,2,1,953
"De 40 a 44 años (067)",217,215,,12,28,45,76,41,10,3,2,922
"De 45 a 49 años (068)",180,177,1,12,16,25,49,39,25,10,3,903
"De 50 y más años (069)",462,458,2,29,44,57,106,120,73,27,4,2463
"PEA (070)",572,547,2,152,123,88,106,47,23,6,25,1684
"De 15 a 19 años (072)",12,10,,10,,,,,,,2,10
"De 20 a 24 años (073)",56,47,,32,12,3,,,,,9,65
"De 25 a 29 años (074)",77,71,1,40,21,4,3,1,1,,6,120
"De 30 a 34 años (075)",90,86,,33,26,15,11,1,,,4,183
"De 35 a 39 años (076)",108,107,,20,32,22,26,7,,,1,304
"De 40 a 44 años (077)",69,69,,7,11,17,24,7,2,1,,256
"De 45 a 49 años (078)",68,66,,6,10,9,24,10,6,1,2,285
"De 50 y más años (079)",92,91,1,4,11,18,18,21,14,4,1,461
"Ocupada (080)",537,517,2,142,115,84,98,47,23,6,20,1610
"De 15 a 19 años (082)",10,9,,9,,,,,,,1,9
"De 20 a 24 años (083)",47,40,,28,11,1,,,,,7,53
"De 25 a 29 años (084)",72,67,1,37,20,4,3,1,1,,5,115
"De 30 a 34 años (085)",81,77,,31,22,14,9,1,,,4,161
"De 35 a 39 años (086)",103,103,,20,31,21,24,7,,,,291
"De 40 a 44 años (087)",67,67,,7,11,17,22,7,2,1,,247
"De 45 a 49 años (088)",68,66,,6,10,9,24,10,6,1,2,285
"De 50 y más años (089)",89,88,1,4,10,18,16,21,14,4,1,449
"Desocupada (090)",35,30,,10,8,4,8,,,,5,74
"De 15 a 19 años (092)",2,1,,1,,,,,,,1,1
"De 20 a 24 años (093)",9,7,,4,1,2,,,,,2,12
"De 25 a 29 años (094)",5,4,,3,1,,,,,,1,5
"De 30 a 34 años (095)",9,9,,2,4,1,2,,,,,22
"De 35 a 39 años (096)",5,4,,,1,1,2,,,,1,13
"De 40 a 44 años (097)",2,2,,,,,2,,,,,9
"De 50 y más años (099)",3,3,,,1,,2,,,,,12
"No PEA (100)",1515,1479,2,330,288,240,289,203,91,36,36,5361
"De 12 a 14 años (101)",2,2,,2,,,,,,,,2
"De 15 a 19 años (102)",65,60,,54,6,,,,,,5,66
"De 20 a 24 años (103)",200,186,,120,48,13,5,,,,14,276
"De 25 a 29 años (104)",218,210,,68,85,35,19,3,,,8,441
"De 30 a 34 años (105)",222,219,,32,60,69,42,15,1,,3,641
"De 35 a 39 años (106)",178,178,,18,33,40,58,23,4,2,,649
"De 40 a 44 años (107)",148,146,,5,17,28,52,34,8,2,2,666
"De 45 a 49 años (108)",112,111,1,6,6,16,25,29,19,9,1,618
"De 50 y más años (109)",370,367,1,25,33,39,88,99,59,23,3,2002
,,,,,,,,,,,,
"RURAL (120)",11370,10918,58,2178,1849,1499,2365,1642,934,393,452,43540
"De 12 a 14 años (121)",20,9,,9,,,,,,,11,9
"De 15 a 19 años (122)",649,613,10,506,87,9,1,,,,36,711
"De 20 a 24 años (123)",1711,1581,10,779,542,191,56,3,,,130,2689
"De 25 a 29 años (124)",1730,1617,9,350,499,415,304,39,1,,113,4138
"De 30 a 34 años (125)",1381,1334,6,155,256,268,443,173,30,3,47,4786
"De 35 a 39 años (126)",1292,1258,1,95,134,204,431,272,106,15,34,5706
"De 40 a 44 años (127)",1006,988,1,64,74,93,277,262,158,59,18,5402
"De 45 a 49 años (128)",834,821,,49,59,71,189,203,168,82,13,4849
"De 50 y más años (129)",2747,2697,21,171,198,248,664,690,471,234,50,15250
"PEA (130)",1184,1104,8,292,178,167,218,133,78,30,80,3952
"De 12 a 14 años (131)",2,,,,,,,,,,2,
"De 15 a 19 años (132)",55,52,,50,2,,,,,,3,54
"De 20 a 24 años (133)",176,154,3,86,39,20,5,1,,,22,251
"De 25 a 29 años (134)",196,163,1,59,54,28,21,,,,33,343
"De 30 a 34 años (135)",150,142,,36,26,32,37,5,5,1,8,430
"De 35 a 39 años (136)",144,138,,24,17,25,43,23,6,,6,523
"De 40 a 44 años (137)",101,99,,7,8,22,23,25,8,6,2,479
"De 45 a 49 años (138)",88,88,,8,12,17,22,15,8,6,,408
"De 50 y más años (139)",272,268,4,22,20,23,67,64,51,17,4,1464
"Ocupada (140)",1078,1029,8,258,166,160,202,128,77,30,49,3760
"De 12 a 14 años (141)",2,,,,,,,,,,2,
"De 15 a 19 años (142)",48,46,,44,2,,,,,,2,48
"De 20 a 24 años (143)",151,138,3,75,36,18,5,1,,,13,228
"De 25 a 29 años (144)",171,152,1,54,49,27,21,,,,19,325
"De 30 a 34 años (145)",136,132,,30,24,32,35,5,5,1,4,412
"De 35 a 39 años (146)",132,127,,22,16,23,38,22,6,,5,483
"De 40 a 44 años (147)",95,95,,6,7,21,23,24,8,6,,466
"De 45 a 49 años (148)",82,82,,8,12,17,16,15,8,6,,379
"De 50 y más años (149)",261,257,4,19,20,22,64,61,50,17,4,1419
"Desocupada (150)",106,75,,34,12,7,16,5,1,,31,192
"De 15 a 19 años (152)",7,6,,6,,,,,,,1,6
"De 20 a 24 años (153)",25,16,,11,3,2,,,,,9,23
"De 25 a 29 años (154)",25,11,,5,5,1,,,,,14,18
"De 30 a 34 años (155)",14,10,,6,2,,2,,,,4,18
"De 35 a 39 años (156)",12,11,,2,1,2,5,1,,,1,40
"De 40 a 44 años (157)",6,4,,1,1,1,,1,,,2,13
"De 45 a 49 años (158)",6,6,,,,,6,,,,,29
"De 50 y más años (159)",11,11,,3,,1,3,3,1,,,45
"No PEA (160)",10186,9814,50,1886,1671,1332,2147,1509,856,363,372,39588
"De 12 a 14 años (161)",18,9,,9,,,,,,,9,9
"De 15 a 19 años (162)",594,561,10,456,85,9,1,,,,33,657
"De 20 a 24 años (163)",1535,1427,7,693,503,171,51,2,,,108,2438
"De 25 a 29 años (164)",1534,1454,8,291,445,387,283,39,1,,80,3795
"De 30 a 34 años (165)",1231,1192,6,119,230,236,406,168,25,2,39,4356
"De 35 a 39 años (166)",1148,1120,1,71,117,179,388,249,100,15,28,5183
"De 40 a 44 años (167)",905,889,1,57,66,71,254,237,150,53,16,4923
"De 45 a 49 años (168)",746,733,,41,47,54,167,188,160,76,13,4441
"De 50 y más años (169)",2475,2429,17,149,178,225,597,626,420,217,46,13786
