"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Actividad economica no especificada (043)",206,1,84,54,49,18
"Mujeres (045)",5014,126,1817,1585,1133,353
"Agric., ganadería, caza y silvicultura (046)",3524,104,1270,979,874,297
"Pesca (047)",3,,1,2,,
"Industrias manufactureras (049)",37,1,21,12,3,
"Suministro de electricidad, gas y agua (050)",1,,1,,,
"Construcción (051)",10,1,5,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (052)",490,9,164,201,96,20
"Venta, mant.y rep. veh.autom.y motoc. (053)",4,,2,1,1,
"Comercio al por mayor (054)",15,,4,8,3,
"Comercio al por menor (055)",471,9,158,192,92,20
"Hoteles y restaurantes (056)",151,3,55,61,29,3
"Trans., almac. y comunicaciones (057)",7,,2,2,1,2
"Activid.inmobil., empres. y alquileres (059)",20,,12,6,2,
"Admin.pub. y defensa; p. segur.soc.afil (060)",48,,25,17,6,
"Enseñanza (061)",272,,84,143,44,1
"Servicios sociales y de salud (062)",87,,40,42,5,
"Otras activ. serv.comun.soc y personales (063)",34,,18,13,3,
"Hogares privados con servicio doméstico (064)",64,6,36,16,6,
"Actividad economica no especificada (066)",266,2,83,87,64,30
,,,,,,
"URBANA (067)",4951,82,1440,1954,1170,305
"Agric., ganadería, caza y silvicultura (068)",2480,56,667,848,676,233
"Pesca (069)",1,,,1,,
"Explotación de minas y canteras (070)",4,,1,2,,1
"Industrias manufactureras (071)",115,2,46,45,20,2
"Suministro de electricidad, gas y agua (072)",5,,2,1,2,
"Construcción (073)",149,,36,71,38,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (074)",726,14,222,316,139,35
"Venta, mant.y rep. veh.autom.y motoc. (075)",30,1,15,13,1,
"Comercio al por mayor (076)",25,,5,13,7,
"Comercio al por menor (077)",671,13,202,290,131,35
"Hoteles y restaurantes (078)",172,2,58,61,45,6
"Trans., almac. y comunicaciones (079)",130,,43,62,21,4
"Intermediación financiera (080)",1,,1,,,
"Activid.inmobil., empres. y alquileres (081)",78,,25,39,11,3
"Admin.pub. y defensa; p. segur.soc.afil (082)",194,,77,80,34,3
"Enseñanza (083)",495,,94,284,113,4
"Servicios sociales y de salud (084)",118,,46,55,17,
"Otras activ. serv.comun.soc y personales (085)",55,1,23,24,7,
"Hogares privados con servicio doméstico (086)",50,6,30,10,4,
"Actividad economica no especificada (088)",178,1,69,55,43,10
"Hombres (089)",3090,49,865,1228,755,193
"Agric., ganadería, caza y silvicultura (090)",1707,36,465,602,457,147
"Explotación de minas y canteras (092)",4,,1,2,,1
"Industrias manufactureras (093)",88,1,33,34,18,2
"Suministro de electricidad, gas y agua (094)",4,,1,1,2,
"Construcción (095)",144,,33,69,38,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (096)",322,9,101,135,59,18
"Venta, mant.y rep. veh.autom.y motoc. (097)",26,1,13,12,,
"Comercio al por mayor (098)",12,,2,6,4,
"Comercio al por menor (099)",284,8,86,117,55,18
"Hoteles y restaurantes (100)",50,,16,14,17,3
"Trans., almac. y comunicaciones (101)",124,,41,60,20,3
"Intermediación financiera (102)",1,,1,,,
"Activid.inmobil., empres. y alquileres (103)",62,,16,34,9,3
"Admin.pub. y defensa; p. segur.soc.afil (104)",157,,57,68,29,3
"Enseñanza (105)",264,,33,157,71,3
"Servicios sociales y de salud (106)",53,,18,23,12,
"Otras activ. serv.comun.soc y personales (107)",26,1,10,11,4,
"Hogares privados con servicio doméstico (108)",8,1,6,,1,
"Actividad economica no especificada (110)",76,1,33,18,18,6
"Mujeres (112)",1861,33,575,726,415,112
"Agric., ganadería, caza y silvicultura (113)",773,20,202,246,219,86
"Pesca (114)",1,,,1,,
"Industrias manufactureras (116)",27,1,13,11,2,
"Suministro de electricidad, gas y agua (117)",1,,1,,,
"Construcción (118)",5,,3,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (119)",404,5,121,181,80,17
"Venta, mant.y rep. veh.autom.y motoc. (120)",4,,2,1,1,
"Comercio al por mayor (121)",13,,3,7,3,
"Comercio al por menor (122)",387,5,116,173,76,17
"Hoteles y restaurantes (123)",122,2,42,47,28,3
"Trans., almac. y comunicaciones (124)",6,,2,2,1,1
"Activid.inmobil., empres. y alquileres (126)",16,,9,5,2,
"Admin.pub. y defensa; p. segur.soc.afil (127)",37,,20,12,5,
"Enseñanza (128)",231,,61,127,42,1
"Servicios sociales y de salud (129)",65,,28,32,5,
"Otras activ. serv.comun.soc y personales (130)",29,,13,13,3,
"Hogares privados con servicio doméstico (131)",42,5,24,10,3,
"Actividad economica no especificada (133)",102,,36,37,25,4
,,,,,,
"RURAL (134)",10459,180,3856,3218,2451,754
"Agric., ganadería, caza y silvicultura (135)",9314,168,3366,2815,2262,703
"Pesca (136)",3,1,1,1,,
"Explotación de minas y canteras (137)",21,,13,7,1,
"Industrias manufactureras (138)",53,,38,12,2,1
"Suministro de electricidad, gas y agua (139)",4,,2,1,1,
"Construcción (140)",111,2,35,46,26,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (141)",259,5,126,80,41,7
"Venta, mant.y rep. veh.autom.y motoc. (142)",9,,6,2,1,
"Comercio al por mayor (143)",8,,3,4,,1
"Comercio al por menor (144)",242,5,117,74,40,6
"Hoteles y restaurantes (145)",45,1,22,19,3,
"Trans., almac. y comunicaciones (146)",51,,25,21,4,1
"Activid.inmobil., empres. y alquileres (148)",16,,7,9,,
"Admin.pub. y defensa; p. segur.soc.afil (149)",61,,28,20,13,
"Enseñanza (150)",139,,49,67,22,1
"Servicios sociales y de salud (151)",40,,18,20,2,
"Otras activ. serv.comun.soc y personales (152)",20,,13,6,1,
"Hogares privados con servicio doméstico (153)",28,1,15,8,3,1
"Actividad economica no especificada (155)",294,2,98,86,70,38
"Hombres (156)",7306,87,2614,2359,1733,513
"Agric., ganadería, caza y silvicultura (157)",6563,84,2298,2082,1607,492
"Pesca (158)",1,1,,,,
"Explotación de minas y canteras (159)",21,,13,7,1,
"Industrias manufactureras (160)",43,,30,11,1,1
"Suministro de electricidad, gas y agua (161)",4,,2,1,1,
"Construcción (162)",106,1,33,44,26,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (163)",173,1,83,60,25,4
"Venta, mant.y rep. veh.autom.y motoc. (164)",9,,6,2,1,
"Comercio al por mayor (165)",6,,2,3,,1
"Comercio al por menor (166)",158,1,75,55,24,3
"Hoteles y restaurantes (167)",16,,9,5,2,
"Trans., almac. y comunicaciones (168)",50,,25,21,4,
"Activid.inmobil., empres. y alquileres (170)",12,,4,8,,
"Admin.pub. y defensa; p. segur.soc.afil (171)",50,,23,15,12,
"Enseñanza (172)",98,,26,51,20,1
"Servicios sociales y de salud (173)",18,,6,10,2,
"Otras activ. serv.comun.soc y personales (174)",15,,8,6,1,
"Hogares privados con servicio doméstico (175)",6,,3,2,,1
"Actividad economica no especificada (177)",130,,51,36,31,12
"Mujeres (179)",3153,93,1242,859,718,241
"Agric., ganadería, caza y silvicultura (180)",2751,84,1068,733,655,211
"Pesca (181)",2,,1,1,,
"Industrias manufactureras (183)",10,,8,1,1,
"Construcción (185)",5,1,2,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (186)",86,4,43,20,16,3
"Comercio al por mayor (188)",2,,1,1,,
"Comercio al por menor (189)",84,4,42,19,16,3
"Hoteles y restaurantes (190)",29,1,13,14,1,
"Trans., almac. y comunicaciones (191)",1,,,,,1
"Activid.inmobil., empres. y alquileres (193)",4,,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (194)",11,,5,5,1,
"Enseñanza (195)",41,,23,16,2,
"Servicios sociales y de salud (196)",22,,12,10,,
"Otras activ. serv.comun.soc y personales (197)",5,,5,,,
"Hogares privados con servicio doméstico (198)",22,1,12,6,3,
"Actividad economica no especificada (200)",164,2,47,50,39,26
