"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
"Jefe o Jefa (049)",2941,58,3,1537,865,87,203,52,136
"Esposa(o)/ compa¤era(o) (050)",132,4,,73,39,1,7,3,5
"Hijo(a)/ hijastro(a) (051)",3079,343,158,1389,1035,37,52,33,32
"Yerno/ nuera (052)",109,,,46,37,7,9,4,6
"Nieto(a) (053)",351,63,35,171,73,3,3,2,1
"Padres/ suegros (054)",55,7,,40,6,,1,,1
"Otro(a) pariente (055)",506,44,10,235,151,19,19,13,15
"Trabajador(a) del hogar (056)",1,,,,1,,,,
"Pensionista (057)",23,,,2,4,3,4,3,7
"Otro(a) no pariente (058)",202,17,3,69,64,11,17,6,15
"Mujeres (060)",7439,878,199,3821,1864,124,299,88,166
"Jefe o Jefa (061)",1095,120,,619,207,28,69,18,34
"Esposa(o)/ compa¤era(o) (062)",2432,183,6,1468,535,39,113,21,67
"Hijo(a)/ hijastro(a) (063)",2747,353,152,1211,845,35,75,36,40
"Yerno/ nuera (064)",106,3,,38,52,3,6,1,3
"Nieto(a) (065)",330,87,29,150,56,1,3,2,2
"Padres/ suegros (066)",157,69,,79,6,1,,,2
"Otro(a) pariente (067)",416,53,11,196,113,15,16,6,6
"Trabajador(a) del hogar (068)",39,2,,21,15,,,,1
"Pensionista (069)",5,,,3,,,1,,1
"Otro(a) no pariente (070)",112,8,1,36,35,2,16,4,10
,,,,,,,,,
"RURAL (072)",10167,1885,321,6050,1499,42,100,103,167
"Jefe o Jefa (073)",2572,423,,1608,357,12,48,32,92
"Esposa(o)/ compa¤era(o) (074)",1838,439,2,1130,186,2,25,21,33
"Hijo(a)/ hijastro(a) (075)",4492,766,264,2608,743,16,18,42,35
"Yerno/ nuera (076)",148,4,,74,64,,1,3,2
"Nieto(a) (077)",389,103,36,196,42,6,2,4,
"Padres/ suegros (078)",85,46,,37,2,,,,
"Otro(a) pariente (079)",520,90,17,331,73,3,3,,3
"Trabajador(a) del hogar (080)",8,,,5,3,,,,
"Pensionista (081)",8,,,3,4,,,,1
"Otro(a) no pariente (082)",107,14,2,58,25,3,3,1,1
"Hombres (084)",5305,751,175,3226,913,24,52,51,113
"Jefe o Jefa (085)",2047,241,,1330,316,9,33,31,87
"Esposa(o)/ compa¤era(o) (086)",92,8,,55,23,,4,,2
"Hijo(a)/ hijastro(a) (087)",2489,396,148,1441,448,11,9,16,20
"Yerno/ nuera (088)",55,,,30,23,,,1,1
"Nieto(a) (089)",203,51,17,104,26,2,1,2,
"Padres/ suegros (090)",24,6,,16,2,,,,
"Otro(a) pariente (091)",313,40,9,209,50,1,2,,2
"Pensionista (093)",6,,,3,3,,,,
"Otro(a) no pariente (094)",76,9,1,38,22,1,3,1,1
"Mujeres (096)",4862,1134,146,2824,586,18,48,52,54
"Jefe o Jefa (097)",525,182,,278,41,3,15,1,5
"Esposa(o)/ compa¤era(o) (098)",1746,431,2,1075,163,2,21,21,31
"Hijo(a)/ hijastro(a) (099)",2003,370,116,1167,295,5,9,26,15
"Yerno/ nuera (100)",93,4,,44,41,,1,2,1
"Nieto(a) (101)",186,52,19,92,16,4,1,2,
"Padres/ suegros (102)",61,40,,21,,,,,
"Otro(a) pariente (103)",207,50,8,122,23,2,1,,1
"Trabajador(a) del hogar (104)",8,,,5,3,,,,
"Pensionista (105)",2,,,,1,,,,1
"Otro(a) no pariente (106)",31,5,1,20,3,2,,,
