"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",5694,4063,575,371,685
"Sin nivel (061)",263,232,20,2,9
"Educación inicial (062)",5,2,1,,2
"Primaria (063)",1316,1191,59,15,51
"Secundaria (064)",1586,1281,101,39,165
"Superior no univ. incompleta (065)",469,326,50,33,60
"Superior no univ. completa (066)",1165,588,193,165,219
"Superior univ. incompleta (067)",220,132,25,26,37
"Superior univ. completa (068)",670,311,126,91,142
"De 06 a 14 años (070)",122,113,8,1,
"Sin nivel (071)",6,5,1,,
"Primaria (073)",80,74,6,,
"Secundaria (074)",36,34,1,1,
"De 15 a 29 años (080)",1641,1190,149,67,235
"Sin nivel (081)",40,36,2,,2
"Educación inicial (082)",5,2,1,,2
"Primaria (083)",256,208,19,6,23
"Secundaria (084)",651,524,32,12,83
"Superior no univ. incompleta (085)",185,146,17,5,17
"Superior no univ. completa (086)",286,155,48,27,56
"Superior univ. incompleta (087)",72,49,5,10,8
"Superior univ. completa (088)",146,70,25,7,44
"De 30 a 44 años (090)",2081,1338,255,185,303
"Sin nivel (091)",53,47,3,1,2
"Primaria (093)",320,292,12,4,12
"Secundaria (094)",530,433,36,12,49
"Superior no univ. incompleta (095)",175,102,23,15,35
"Superior no univ. completa (096)",567,273,94,89,111
"Superior univ. incompleta (097)",95,49,16,10,20
"Superior univ. completa (098)",341,142,71,54,74
"De 45 a 64 años (100)",1495,1088,148,115,144
"Sin nivel (101)",102,88,8,1,5
"Primaria (103)",461,419,22,5,15
"Secundaria (104)",339,264,29,14,32
"Superior no univ. incompleta (105)",91,65,6,12,8
"Superior no univ. completa (106)",288,138,51,47,52
"Superior univ. incompleta (107)",51,32,4,6,9
"Superior univ. completa (108)",163,82,28,30,23
"De 65 y más años (110)",355,334,15,3,3
"Sin nivel (111)",62,56,6,,
"Primaria (113)",199,198,,,1
"Secundaria (114)",30,26,3,,1
"Superior no univ. incompleta (115)",18,13,4,1,
"Superior no univ. completa (116)",24,22,,2,
"Superior univ. incompleta (117)",2,2,,,
"Superior univ. completa (118)",20,17,2,,1
,,,,,
"RURAL (120)",30074,28516,1021,183,354
"Sin nivel (121)",4902,4759,126,10,7
"Educación inicial (122)",21,21,,,
"Primaria (123)",19034,18398,532,51,53
"Secundaria (124)",4866,4572,191,38,65
"Superior no univ. incompleta (125)",277,223,25,7,22
"Superior no univ. completa (126)",634,351,90,52,141
"Superior univ. incompleta (127)",95,66,10,6,13
"Superior univ. completa (128)",245,126,47,19,53
"De 06 a 14 años (130)",758,741,16,1,
"Sin nivel (131)",98,98,,,
"Educación inicial (132)",5,5,,,
"Primaria (133)",592,577,14,1,
"Secundaria (134)",63,61,2,,
"De 15 a 29 años (140)",10026,9483,370,71,102
"Sin nivel (141)",675,658,15,1,1
"Educación inicial (142)",13,13,,,
"Primaria (143)",5908,5677,191,24,16
"Secundaria (144)",2978,2825,113,20,20
"Superior no univ. incompleta (145)",137,107,16,5,9
"Superior no univ. completa (146)",213,140,21,16,36
"Superior univ. incompleta (147)",37,30,4,1,2
"Superior univ. completa (148)",65,33,10,4,18
"De 30 a 44 años (150)",8709,8098,370,66,175
"Sin nivel (151)",1161,1107,50,3,1
"Educación inicial (152)",3,3,,,
"Primaria (153)",5590,5387,170,13,20
"Secundaria (154)",1356,1264,54,9,29
"Superior no univ. incompleta (155)",98,79,9,1,9
"Superior no univ. completa (156)",319,164,50,26,79
"Superior univ. incompleta (157)",45,28,6,4,7
"Superior univ. completa (158)",137,66,31,10,30
"De 45 a 64 años (160)",7410,7070,227,43,70
"Sin nivel (161)",1696,1646,42,5,3
"Primaria (163)",5101,4936,139,12,14
"Secundaria (164)",429,383,22,9,15
"Superior no univ. incompleta (165)",36,31,,1,4
"Superior no univ. completa (166)",94,40,18,10,26
"Superior univ. incompleta (167)",13,8,,1,4
"Superior univ. completa (168)",41,26,6,5,4
"De 65 y más años (170)",3171,3124,38,2,7
"Sin nivel (171)",1272,1250,19,1,2
"Primaria (173)",1843,1821,18,1,3
"Secundaria (174)",40,39,,,1
"Superior no univ. incompleta (175)",6,6,,,
"Superior no univ. completa (176)",8,7,1,,
"Superior univ. completa (178)",2,1,,,1
