"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
"Mujeres (088)",4572,89,1350,1333,921,633,246
"Jefe o Jefa (089)",571,,,98,174,204,95
"Esposa(o) / compañera(o) (090)",1541,,,453,614,372,102
"Hijo(a) / hijastro(a) (091)",1897,69,1139,592,85,12,
"Yerno / nuera (092)",58,,1,44,12,1,
"Nieto(a) (093)",151,11,117,21,2,,
"Padres / suegros (094)",61,,,,2,21,38
"Otro(a) pariente (095)",230,9,84,98,20,11,8
"Trabajador(a) del hogar (096)",13,,1,5,4,2,1
"Otro(a) no pariente (098)",50,,8,22,8,10,2
