"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,,,,,,,
"URBANA (060)",897,6,17,41,79,203,368,183
"De 12 a 14 años (061)",1,,,,,,1,
"De 15 a 19 años (062)",24,,,,,,13,11
"De 20 a 24 años (063)",86,,,,,,53,33
"De 25 a 29 años (064)",104,,,,,6,76,22
"De 30 a 34 años (065)",128,,,,,25,84,19
"De 35 a 39 años (066)",123,,,,1,32,75,15
"De 40 a 44 años (067)",110,,,,6,45,44,15
"De 45 a 49 años (068)",65,,,1,5,31,17,11
"De 50 y más años (069)",256,6,17,40,67,64,5,57
"PEA (070)",262,1,,7,19,83,101,51
"De 15 a 19 años (072)",1,,,,,,1,
"De 20 a 24 años (073)",15,,,,,,10,5
"De 25 a 29 años (074)",35,,,,,2,24,9
"De 30 a 34 años (075)",46,,,,,9,25,12
"De 35 a 39 años (076)",52,,,,,18,27,7
"De 40 a 44 años (077)",47,,,,3,24,12,8
"De 45 a 49 años (078)",20,,,1,2,10,2,5
"De 50 y más años (079)",46,1,,6,14,20,,5
"Ocupada (080)",259,1,,7,19,82,100,50
"De 15 a 19 años (082)",1,,,,,,1,
"De 20 a 24 años (083)",15,,,,,,10,5
"De 25 a 29 años (084)",34,,,,,2,23,9
"De 30 a 34 años (085)",46,,,,,9,25,12
"De 35 a 39 años (086)",52,,,,,18,27,7
"De 40 a 44 años (087)",47,,,,3,24,12,8
"De 45 a 49 años (088)",19,,,1,2,9,2,5
"De 50 y más años (089)",45,1,,6,14,20,,4
"Desocupada (090)",3,,,,,1,1,1
"De 25 a 29 años (094)",1,,,,,,1,
"De 45 a 49 años (098)",1,,,,,1,,
"De 50 y más años (099)",1,,,,,,,1
"No PEA (100)",635,5,17,34,60,120,267,132
"De 12 a 14 años (101)",1,,,,,,1,
"De 15 a 19 años (102)",23,,,,,,12,11
"De 20 a 24 años (103)",71,,,,,,43,28
"De 25 a 29 años (104)",69,,,,,4,52,13
"De 30 a 34 años (105)",82,,,,,16,59,7
"De 35 a 39 años (106)",71,,,,1,14,48,8
"De 40 a 44 años (107)",63,,,,3,21,32,7
"De 45 a 49 años (108)",45,,,,3,21,15,6
"De 50 y más años (109)",210,5,17,34,53,44,5,52
,,,,,,,,
"RURAL (120)",3883,16,70,209,363,641,1834,750
"De 12 a 14 años (121)",13,,,,,,1,12
"De 15 a 19 años (122)",137,,,,,,77,60
"De 20 a 24 años (123)",402,,,,,3,293,106
"De 25 a 29 años (124)",437,,,,,15,332,90
"De 30 a 34 años (125)",518,,,,,48,392,78
"De 35 a 39 años (126)",482,,,,2,72,351,57
"De 40 a 44 años (127)",373,,,,10,106,229,28
"De 45 a 49 años (128)",292,,,,16,114,128,34
"De 50 y más años (129)",1229,16,70,209,335,283,31,285
"PEA (130)",400,,4,17,41,72,153,113
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",15,,,,,,6,9
"De 20 a 24 años (133)",35,,,,,1,19,15
"De 25 a 29 años (134)",50,,,,,3,26,21
"De 30 a 34 años (135)",69,,,,,10,36,23
"De 35 a 39 años (136)",62,,,,1,10,38,13
"De 40 a 44 años (137)",43,,,,4,16,20,3
"De 45 a 49 años (138)",25,,,,1,12,6,6
"De 50 y más años (139)",100,,4,17,35,20,2,22
"Ocupada (140)",373,,3,15,39,70,144,102
"De 15 a 19 años (142)",13,,,,,,6,7
"De 20 a 24 años (143)",29,,,,,1,16,12
"De 25 a 29 años (144)",47,,,,,3,25,19
"De 30 a 34 años (145)",66,,,,,10,35,21
"De 35 a 39 años (146)",60,,,,1,10,37,12
"De 40 a 44 años (147)",42,,,,4,16,19,3
"De 45 a 49 años (148)",22,,,,1,10,5,6
"De 50 y más años (149)",94,,3,15,33,20,1,22
"Desocupada (150)",27,,1,2,2,2,9,11
"De 12 a 14 años (151)",1,,,,,,,1
"De 15 a 19 años (152)",2,,,,,,,2
"De 20 a 24 años (153)",6,,,,,,3,3
"De 25 a 29 años (154)",3,,,,,,1,2
"De 30 a 34 años (155)",3,,,,,,1,2
"De 35 a 39 años (156)",2,,,,,,1,1
"De 40 a 44 años (157)",1,,,,,,1,
"De 45 a 49 años (158)",3,,,,,2,1,
"De 50 y más años (159)",6,,1,2,2,,1,
"No PEA (160)",3483,16,66,192,322,569,1681,637
"De 12 a 14 años (161)",12,,,,,,1,11
"De 15 a 19 años (162)",122,,,,,,71,51
"De 20 a 24 años (163)",367,,,,,2,274,91
"De 25 a 29 años (164)",387,,,,,12,306,69
"De 30 a 34 años (165)",449,,,,,38,356,55
"De 35 a 39 años (166)",420,,,,1,62,313,44
"De 40 a 44 años (167)",330,,,,6,90,209,25
"De 45 a 49 años (168)",267,,,,15,102,122,28
"De 50 y más años (169)",1129,16,66,192,300,263,29,263
