"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",7062,3929,675,582,1876
"Sin nivel (061)",433,390,22,10,11
"Educación inicial (062)",10,9,1,,
"Primaria (063)",1990,1476,158,86,270
"Secundaria (064)",2031,1164,181,128,558
"Superior no univ. incompleta (065)",463,243,40,43,137
"Superior no univ. completa (066)",1099,361,148,146,444
"Superior univ. incompleta (067)",199,81,29,28,61
"Superior univ. completa (068)",837,205,96,141,395
"De 06 a 14 años (070)",95,79,15,,1
"Sin nivel (071)",10,10,,,
"Educación inicial (072)",3,2,1,,
"Primaria (073)",42,33,8,,1
"Secundaria (074)",40,34,6,,
"De 15 a 29 años (080)",2602,1327,250,203,822
"Sin nivel (081)",76,66,5,5,
"Educación inicial (082)",4,4,,,
"Primaria (083)",605,399,54,31,121
"Secundaria (084)",1039,565,96,63,315
"Superior no univ. incompleta (085)",216,116,21,19,60
"Superior no univ. completa (086)",369,102,43,47,177
"Superior univ. incompleta (087)",66,30,10,5,21
"Superior univ. completa (088)",227,45,21,33,128
"De 30 a 44 años (090)",2738,1401,271,268,798
"Sin nivel (091)",127,106,10,3,8
"Educación inicial (092)",3,3,,,
"Primaria (093)",703,496,59,35,113
"Secundaria (094)",667,381,50,43,193
"Superior no univ. incompleta (095)",200,97,16,21,66
"Superior no univ. completa (096)",531,175,74,74,208
"Superior univ. incompleta (097)",84,34,12,17,21
"Superior univ. completa (098)",423,109,50,75,189
"De 45 a 64 años (100)",1336,856,131,107,242
"Sin nivel (101)",145,136,5,2,2
"Primaria (103)",474,390,32,18,34
"Secundaria (104)",265,169,28,21,47
"Superior no univ. incompleta (105)",46,29,3,3,11
"Superior no univ. completa (106)",182,70,31,25,56
"Superior univ. incompleta (107)",44,14,7,6,17
"Superior univ. completa (108)",180,48,25,32,75
"De 65 y más años (110)",291,266,8,4,13
"Sin nivel (111)",75,72,2,,1
"Primaria (113)",166,158,5,2,1
"Secundaria (114)",20,15,1,1,3
"Superior no univ. incompleta (115)",1,1,,,
"Superior no univ. completa (116)",17,14,,,3
"Superior univ. incompleta (117)",5,3,,,2
"Superior univ. completa (118)",7,3,,1,3
,,,,,
"RURAL (120)",15490,11572,662,539,2717
"Sin nivel (121)",2573,2448,63,29,33
"Educación inicial (122)",18,17,,1,
"Primaria (123)",7764,6819,226,159,560
"Secundaria (124)",2981,1658,160,127,1036
"Superior no univ. incompleta (125)",416,149,29,29,209
"Superior no univ. completa (126)",1016,297,125,114,480
"Superior univ. incompleta (127)",185,69,15,24,77
"Superior univ. completa (128)",537,115,44,56,322
"De 06 a 14 años (130)",244,235,6,2,1
"Sin nivel (131)",54,54,,,
"Educación inicial (132)",2,2,,,
"Primaria (133)",160,155,5,,
"Secundaria (134)",28,24,1,2,1
"De 15 a 29 años (140)",5483,3825,284,214,1160
"Sin nivel (141)",367,341,9,12,5
"Educación inicial (142)",10,9,,1,
"Primaria (143)",2488,2145,86,57,200
"Secundaria (144)",1707,1059,102,61,485
"Superior no univ. incompleta (145)",186,60,12,7,107
"Superior no univ. completa (146)",475,141,49,53,232
"Superior univ. incompleta (147)",80,32,10,6,32
"Superior univ. completa (148)",170,38,16,17,99
"De 30 a 44 años (150)",5402,3664,231,250,1257
"Sin nivel (151)",692,653,15,6,18
"Educación inicial (152)",6,6,,,
"Primaria (153)",2805,2343,86,77,299
"Secundaria (154)",963,406,43,51,463
"Superior no univ. incompleta (155)",183,65,12,21,85
"Superior no univ. completa (156)",433,117,56,51,209
"Superior univ. incompleta (157)",73,23,3,15,32
"Superior univ. completa (158)",247,51,16,29,151
"De 45 a 64 años (160)",3198,2721,119,67,291
"Sin nivel (161)",889,844,25,10,10
"Primaria (163)",1754,1633,44,21,56
"Secundaria (164)",264,152,13,13,86
"Superior no univ. incompleta (165)",44,22,4,1,17
"Superior no univ. completa (166)",102,35,19,10,38
"Superior univ. incompleta (167)",30,13,2,3,12
"Superior univ. completa (168)",115,22,12,9,72
"De 65 y más años (170)",1163,1127,22,6,8
"Sin nivel (171)",571,556,14,1,
"Primaria (173)",557,543,5,4,5
"Secundaria (174)",19,17,1,,1
"Superior no univ. incompleta (175)",3,2,1,,
"Superior no univ. completa (176)",6,4,1,,1
"Superior univ. incompleta (177)",2,1,,,1
"Superior univ. completa (178)",5,4,,1,
